x,eta,u,v,pressure
-3.14159,0.05746,2.32311,0.00702,0.0001399
-3.12930,0.05744,2.32506,0.00744,0.0001361
-3.11700,0.05699,2.33354,0.00457,0.0001329
-3.10471,0.05642,2.33528,0.00554,0.0001301
-3.09241,0.05565,2.34775,0.00653,0.0001270
-3.08011,0.05516,2.35022,0.00605,0.0001240
-3.06782,0.05413,2.35749,0.00410,0.0001190
-3.05552,0.05301,2.35928,0.00400,0.0001096
-3.04323,0.05168,2.37860,0.00741,0.0001000
-3.03093,0.04844,2.38071,0.00685,0.0000964
-3.01863,0.04657,2.38972,0.00766,0.0000917
-3.00634,0.04455,2.39048,0.00740,0.0000834
-2.99404,0.04347,2.40064,0.01443,0.0000755
-2.98175,0.04190,2.40192,0.01420,0.0000655
-2.96945,0.03972,2.41193,0.01776,0.0000554
-2.95715,0.03627,2.41326,0.01755,0.0000420
-2.94486,0.03392,2.43156,0.02366,0.0000295
-2.93256,0.03150,2.43323,0.02326,0.0000154
-2.92027,0.03027,2.44222,0.02778,0.0000015
-2.90797,0.02783,2.44355,0.02773,-0.0000082
-2.89568,0.02585,2.45849,0.03461,-0.0000210
-2.88338,0.02350,2.45916,0.03459,-0.0000285
-2.87108,0.01872,2.47050,0.03923,-0.0000498
-2.85879,0.01645,2.47111,0.03938,-0.0000636
-2.84649,0.01392,2.49082,0.04278,-0.0000712
-2.83420,0.01265,2.49115,0.04286,-0.0000841
-2.82190,0.01013,2.49850,0.04574,-0.0000959
-2.80960,0.00762,2.49856,0.04576,-0.0001096
-2.79731,0.00404,2.51042,0.04565,-0.0001243
-2.78501,0.00250,2.51052,0.04556,-0.0001349
-2.77272,-0.00150,2.51848,0.04584,-0.0001451
-2.76042,-0.00151,2.51909,0.04599,-0.0001553
-2.74813,-0.00493,2.53435,0.04098,-0.0001675
-2.73583,-0.00681,2.53454,0.04081,-0.0001805
-2.72353,-0.00903,2.54059,0.03987,-0.0001909
-2.71124,-0.01231,2.54124,0.03993,-0.0002031
-2.69894,-0.01441,2.54576,0.03165,-0.0002147
-2.68665,-0.01646,2.54581,0.03153,-0.0002226
-2.67435,-0.01747,2.55037,0.02785,-0.0002401
-2.66205,-0.01931,2.55050,0.02802,-0.0002476
-2.64976,-0.02206,2.55565,0.01550,-0.0002635
-2.63746,-0.02395,2.55569,0.01504,-0.0002752
