x,eta,u,v,pressure
-3.14159,0.05827,2.56842,0.07484,0.0002888
-3.12930,0.05823,2.56906,0.07532,0.0002767
-3.11700,0.05776,2.58285,0.08401,0.0002649
-3.10471,0.05718,2.58423,0.08483,0.0002529
-3.09241,0.05681,2.60395,0.10067,0.0002405
-3.08011,0.05546,2.60490,0.10086,0.0002270
-3.06782,0.05469,2.62031,0.10555,0.0002096
-3.05552,0.05365,2.62087,0.10571,0.0001959
-3.04323,0.05236,2.63849,0.12115,0.0001787
-3.03093,0.05083,2.63905,0.12176,0.0001589
-3.01863,0.04746,2.65682,0.12773,0.0001476
-3.00634,0.04534,2.65810,0.12789,0.0001369
-2.99404,0.04372,2.67991,0.13811,0.0001197
-2.98175,0.04161,2.68044,0.13799,0.0000996
-2.96945,0.03939,2.69566,0.14435,0.0000847
-2.95715,0.03824,2.69670,0.14433,0.0000647
-2.94486,0.03467,2.70947,0.14884,0.0000405
-2.93256,0.03346,2.70965,0.14851,0.0000165
-2.92027,0.02975,2.71459,0.15113,-0.0000133
-2.90797,0.02807,2.70971,0.15015,-0.0000340
-2.89568,0.02633,2.72711,0.14892,-0.0000666
-2.88338,0.02170,2.72391,0.14853,-0.0000956
-2.87108,0.01951,2.72573,0.14791,-0.0001349
-2.85879,0.01805,2.72174,0.14785,-0.0001738
-2.84649,0.01452,2.73268,0.14332,-0.0002096
-2.83420,0.01323,2.73236,0.14345,-0.0002419
-2.82190,0.01066,2.72892,0.13938,-0.0002755
-2.80960,0.00691,2.72792,0.13901,-0.0003056
-2.79731,0.00566,2.73328,0.12614,-0.0003315
-2.78501,0.00274,2.73311,0.12557,-0.0003479
-2.77272,0.00124,2.72818,0.11808,-0.0003620
-2.76042,-0.00105,2.72758,0.11775,-0.0003722
-2.74813,-0.00552,2.71746,0.10104,-0.0003780
-2.73583,-0.00677,2.71679,0.10043,-0.0003851
-2.72353,-0.00866,2.70744,0.09096,-0.0003893
-2.71124,-0.01199,2.70603,0.09013,-0.0003945
-2.69894,-0.01308,2.70164,0.07222,-0.0003982
-2.68665,-0.01624,2.70033,0.07167,-0.0004029
-2.67435,-0.01726,2.69220,0.06503,-0.0004056
-2.66205,-0.01926,2.69055,0.06410,-0.0004095
-2.64976,-0.02214,2.68232,0.04743,-0.0004162
-2.63746,-0.02261,2.68159,0.04664,-0.0004196
-2.62517,-0.02429,2.67724,0.04057,-0.0004291
-2.61287,-0.02768,2.67599,0.03963,-0.0004300
-2.60057,-0.02946,2.67679,0.02458,-0.0004380
-2.58828,-0.03005,2.67700,0.02419,-0.0004450
-2.57598,-0.03221,2.66897,0.01463,-0.0004518
-2.56369,-0.03292,2.66952,0.01417,-0.0004570
-2.55139,-0.03481,2.66036,-0.00732,-0.0004619
-2.53910,-0.03542,2.66082,-0.00744,-0.0004660
-2.52680,-0.03657,2.64559,-0.02172,-0.0004689
-2.51450,-0.03817,2.64159,-0.02297,-0.0004707
-2.50221,-0.03931,2.63683,-0.04238,-0.0004711
-2.48991,-0.04000,2.63756,-0.04234,-0.0004701
-2.47762,-0.04122,2.61933,-0.05266,-0.0004669
-2.46532,-0.04171,2.61793,-0.05210,-0.0004619
-2.45302,-0.04255,2.60453,-0.06371,-0.0004548
-2.44073,-0.04305,2.60537,-0.06375,-0.0004488
-2.42843,-0.04355,2.59061,-0.06345,-0.0004415
-2.41614,-0.04438,2.59185,-0.06281,-0.0004307
-2.40384,-0.04480,2.58215,-0.06626,-0.0004193
-2.39155,-0.04485,2.58352,-0.06616,-0.0004071
-2.37925,-0.04517,2.57408,-0.06344,-0.0003936
-2.36695,-0.04537,2.57530,-0.06390,-0.0003778
-2.35466,-0.04556,2.54684,-0.07072,-0.0003620
-2.34236,-0.04555,2.54857,-0.07108,-0.0003445
-2.33007,-0.04547,2.53724,-0.07433,-0.0003265
-2.31777,-0.04530,2.53888,-0.07479,-0.0003065
-2.30547,-0.04524,2.52629,-0.08102,-0.0002866
-2.29318,-0.04498,2.52755,-0.08183,-0.0002641
-2.28088,-0.04435,2.52113,-0.08646,-0.0002451
-2.26859,-0.04390,2.52160,-0.08755,-0.0002225
-2.25629,-0.04357,2.49166,-0.09403,-0.0002009
-2.24399,-0.04277,2.49110,-0.09530,-0.0001822
-2.23170,-0.04227,2.48059,-0.10269,-0.0001589
-2.21940,-0.04132,2.47987,-0.10523,-0.0001351
-2.20711,-0.04090,2.45678,-0.11528,-0.0001113
-2.19481,-0.03964,2.45322,-0.11943,-0.0000962
-2.18252,-0.03808,2.44053,-0.13593,-0.0000726
-2.17022,-0.03704,2.43198,-0.13674,-0.0000424
-2.15792,-0.03650,2.40264,-0.14771,-0.0000197
-2.14563,-0.03466,2.39684,-0.14865,0.0000025
-2.13333,-0.03398,2.38452,-0.15774,0.0000245
-2.12104,-0.03186,2.38002,-0.15678,0.0000493
-2.10874,-0.03062,2.36438,-0.16098,0.0000657
-2.09644,-0.02983,2.36110,-0.15926,0.0000798
-2.08415,-0.02686,2.35337,-0.15506,0.0000979
-2.07185,-0.02550,2.35091,-0.15223,0.0001180
-2.05956,-0.02467,2.34063,-0.14588,0.0001346
-2.04726,-0.02174,2.34000,-0.14538,0.0001551
-2.03497,-0.02060,2.33665,-0.13439,0.0001710
-2.02267,-0.01868,2.33688,-0.13395,0.0001896
-2.01037,-0.01559,2.33452,-0.12720,0.0002002
-1.99808,-0.01454,2.33416,-0.12586,0.0002195
-1.98578,-0.01127,2.33596,-0.11614,0.0002437
-1.97349,-0.00901,2.33638,-0.11459,0.0002647
-1.96119,-0.00787,2.34126,-0.10728,0.0002773
-1.94889,-0.00448,2.34167,-0.10605,0.0002825
-1.93660,-0.00157,2.34436,-0.09515,0.0002905
-1.92430,0.00003,2.34452,-0.09436,0.0003032
-1.91201,0.00293,2.35882,-0.08395,0.0003109
-1.89971,0.00432,2.35841,-0.08372,0.0003238
-1.88741,0.00811,2.36108,-0.07559,0.0003342
-1.87512,0.00940,2.35941,-0.07557,0.0003479
-1.86282,0.01199,2.38218,-0.05923,0.0003580
-1.85053,0.01593,2.38236,-0.05965,0.0003763
-1.83823,0.01821,2.39189,-0.05336,0.0003750
-1.82594,0.01967,2.39184,-0.05383,0.0003661
-1.81364,0.02425,2.41656,-0.03497,0.0003530
-1.80134,0.02597,2.41755,-0.03569,0.0003566
-1.78905,0.02781,2.42595,-0.03233,0.0003589
-1.77675,0.03166,2.42733,-0.03293,0.0003607
-1.76446,0.03295,2.44777,-0.00614,0.0003637
-1.75216,0.03668,2.44944,-0.00679,0.0003645
-1.73986,0.03791,2.45924,-0.00240,0.0003684
-1.72757,0.04031,2.46107,-0.00287,0.0003699
-1.71527,0.04327,2.48180,0.01935,0.0003591
-1.70298,0.04476,2.48237,0.01922,0.0003504
-1.69068,0.04718,2.48997,0.02294,0.0003425
-1.67839,0.04986,2.49135,0.02282,0.0003360
-1.66609,0.05107,2.50962,0.04770,0.0003275
-1.65379,0.05308,2.51032,0.04767,0.0003194
-1.64150,0.05434,2.52003,0.05281,0.0003041
-1.62920,0.05511,2.52061,0.05261,0.0002871
-1.61691,0.05660,2.53821,0.07171,0.0002694
-1.60461,0.05702,2.53821,0.07183,0.0002556
-1.59231,0.05767,2.54642,0.07739,0.0002424
-1.58002,0.05822,2.54641,0.07796,0.0002287
-1.56772,0.05829,2.56555,0.09553,0.0002143
-1.55543,0.05817,2.56554,0.09569,0.0001989
-1.54313,0.05780,2.57469,0.10158,0.0001827
-1.53083,0.05753,2.57454,0.10159,0.0001659
-1.51854,0.05641,2.59304,0.10996,0.0001481
-1.50624,0.05547,2.59321,0.10998,0.0001315
-1.49395,0.05488,2.59985,0.10992,0.0001113
-1.48165,0.05330,2.60005,0.10974,0.0000912
-1.46936,0.05098,2.60671,0.11395,0.0000716
-1.45706,0.05089,2.60710,0.11401,0.0000457
-1.44476,0.04929,2.61478,0.11456,0.0000301
-1.43247,0.04746,2.61520,0.11446,0.0000147
-1.42017,0.04358,2.62815,0.11134,-0.0000070
-1.40788,0.04271,2.62783,0.11133,-0.0000288
-1.39558,0.04065,2.63324,0.10998,-0.0000470
-1.38328,0.03721,2.63225,0.10984,-0.0000705
-1.37099,0.03485,2.63806,0.10490,-0.0000939
-1.35869,0.03364,2.63744,0.10478,-0.0001163
-1.34640,0.02995,2.64450,0.10114,-0.0001419
-1.33410,0.02871,2.64371,0.10092,-0.0001571
-1.32181,0.02469,2.65721,0.09398,-0.0001758
-1.30951,0.02435,2.65695,0.09364,-0.0001883
-1.29721,0.02124,2.66381,0.08611,-0.0002118
-1.28492,0.01730,2.66315,0.08623,-0.0002297
-1.27262,0.01603,2.68146,0.07548,-0.0002415
-1.26033,0.01353,2.68133,0.07554,-0.0002522
-1.24803,0.00969,2.68828,0.06810,-0.0002661
-1.23573,0.00842,2.68793,0.06828,-0.0002738
-1.22344,0.00592,2.69908,0.05487,-0.0002885
-1.21114,0.00335,2.69886,0.05484,-0.0002961
-1.19885,-0.00061,2.70417,0.04658,-0.0003042
-1.18655,-0.00321,2.70396,0.04691,-0.0003109
-1.17425,-0.00535,2.71153,0.03472,-0.0003203
-1.16196,-0.00733,2.71169,0.03480,-0.0003329
-1.14966,-0.00844,2.71740,0.02902,-0.0003410
-1.13737,-0.01069,2.71739,0.02925,-0.0003496
-1.12507,-0.01288,2.72707,0.01622,-0.0003557
-1.11278,-0.01605,2.72732,0.01602,-0.0003670
-1.10048,-0.01809,2.73043,0.01223,-0.0003715
-1.08818,-0.01949,2.73011,0.01243,-0.0003763
-1.07589,-0.02172,2.72913,0.00016,-0.0003833
-1.06359,-0.02235,2.72917,0.00002,-0.0003878
-1.05130,-0.02415,2.73157,-0.00458,-0.0003988
-1.03900,-0.02584,2.73129,-0.00455,-0.0003947
-1.02670,-0.02815,2.73659,-0.01592,-0.0003938
-1.01441,-0.03076,2.73652,-0.01608,-0.0003901
-1.00211,-0.03208,2.73578,-0.02025,-0.0003912
-0.98982,-0.03276,2.73512,-0.02032,-0.0003887
-0.97752,-0.03407,2.72459,-0.03132,-0.0003839
-0.96523,-0.03532,2.72407,-0.03152,-0.0003761
-0.95293,-0.03714,2.71747,-0.03418,-0.0003647
-0.94063,-0.03822,2.71705,-0.03420,-0.0003553
-0.92834,-0.03922,2.70532,-0.04030,-0.0003366
-0.91604,-0.04016,2.70483,-0.04047,-0.0003254
-0.90375,-0.04060,2.69224,-0.04158,-0.0003015
-0.89145,-0.04147,2.69000,-0.04216,-0.0002860
-0.87915,-0.04217,2.67136,-0.04465,-0.0002632
-0.86686,-0.04291,2.66999,-0.04508,-0.0002426
-0.85456,-0.04366,2.65217,-0.04536,-0.0002251
-0.84227,-0.04417,2.65078,-0.04573,-0.0002087
-0.82997,-0.04433,2.62949,-0.04856,-0.0001930
-0.81767,-0.04469,2.62930,-0.04889,-0.0001777
-0.80538,-0.04496,2.60731,-0.05171,-0.0001648
-0.79308,-0.04530,2.60415,-0.05317,-0.0001491
-0.78079,-0.04537,2.58531,-0.06059,-0.0001375
-0.76849,-0.04537,2.58540,-0.06132,-0.0001247
-0.75620,-0.04529,2.56177,-0.06943,-0.0001143
-0.74390,-0.04525,2.55967,-0.07069,-0.0000997
-0.73160,-0.04508,2.54382,-0.07946,-0.0000885
-0.71931,-0.04479,2.54422,-0.08047,-0.0000742
-0.70701,-0.04443,2.52466,-0.08898,-0.0000607
-0.69472,-0.04370,2.52433,-0.08933,-0.0000449
-0.68242,-0.04319,2.51274,-0.09776,-0.0000268
-0.67012,-0.04282,2.51393,-0.09872,-0.0000063
-0.65783,-0.04204,2.49495,-0.10576,0.0000091
-0.64553,-0.04142,2.49332,-0.10660,0.0000519
-0.63324,-0.04015,2.47362,-0.11724,0.0000834
-0.62094,-0.03919,2.47401,-0.11695,0.0001168
-0.60865,-0.03815,2.44927,-0.13044,0.0001506
-0.59635,-0.03703,2.44116,-0.13247,0.0001846
-0.58405,-0.03643,2.42662,-0.13919,0.0002187
-0.57176,-0.03521,2.42572,-0.13949,0.0002451
-0.55946,-0.03391,2.40931,-0.14396,0.0002808
-0.54717,-0.03181,2.40440,-0.14335,0.0003098
-0.53487,-0.03066,2.39645,-0.13783,0.0003336
-0.52257,-0.02838,2.39565,-0.13775,0.0003513
-0.51028,-0.02779,2.38938,-0.12963,0.0003797
-0.49798,-0.02611,2.38941,-0.12819,0.0003985
-0.48569,-0.02449,2.37918,-0.11270,0.0004188
-0.47339,-0.02139,2.37897,-0.11236,0.0004374
-0.46109,-0.01951,2.37667,-0.09967,0.0004554
-0.44880,-0.01748,2.37687,-0.09932,0.0004741
-0.43650,-0.01539,2.37519,-0.08290,0.0004906
-0.42421,-0.01433,2.37517,-0.08288,0.0005083
-0.41191,-0.01215,2.37090,-0.07632,0.0005219
-0.39962,-0.00990,2.37068,-0.07634,0.0005419
-0.38732,-0.00659,2.36453,-0.05863,0.0005500
-0.37502,-0.00412,2.36451,-0.05877,0.0005547
-0.36273,-0.00112,2.36203,-0.05336,0.0005584
-0.35043,0.00037,2.36191,-0.05353,0.0005668
-0.33814,0.00205,2.36114,-0.03848,0.0005719
-0.32584,0.00464,2.36111,-0.03870,0.0005752
-0.31354,0.00841,2.36181,-0.03643,0.0005788
-0.30125,0.01098,2.36164,-0.03683,0.0005863
-0.28895,0.01361,2.36258,-0.02087,0.0005894
-0.27666,0.01622,2.36287,-0.02112,0.0006015
-0.26436,0.01759,2.36937,-0.01483,0.0005906
-0.25207,0.02153,2.36914,-0.01500,0.0005731
-0.23977,0.02410,2.38723,0.00176,0.0005604
-0.22747,0.02675,2.38751,0.00181,0.0005550
-0.21518,0.02932,2.39745,0.00908,0.0005484
-0.20288,0.03060,2.39753,0.00930,0.0005432
-0.19059,0.03322,2.41362,0.02734,0.0005394
-0.17829,0.03687,2.41338,0.02770,0.0005316
-0.16599,0.03809,2.42973,0.03902,0.0005297
-0.15370,0.04047,2.43038,0.03953,0.0005219
-0.14140,0.04346,2.45241,0.05387,0.0005047
-0.12911,0.04474,2.45242,0.05398,0.0004903
-0.11681,0.04752,2.46105,0.05877,0.0004777
-0.10451,0.04934,2.46168,0.05895,0.0004665
-0.09222,0.05068,2.47360,0.07257,0.0004557
-0.07992,0.05257,2.47390,0.07248,0.0004438
-0.06763,0.05385,2.48009,0.07806,0.0004241
-0.05533,0.05567,2.47912,0.07770,0.0004026
-0.04304,0.05665,2.49570,0.08547,0.0003831
-0.03074,0.05741,2.49502,0.08514,0.0003667
-0.01844,0.05770,2.49707,0.08951,0.0003515
-0.00615,0.05812,2.49576,0.08941,0.0003366
0.00615,0.05831,2.51018,0.09853,0.0003215
0.01844,0.05816,2.50953,0.09869,0.0003060
0.03074,0.05778,2.51922,0.10178,0.0002906
0.04304,0.05719,2.51939,0.10274,0.0002755
0.05533,0.05681,2.53913,0.10891,0.0002671
0.06763,0.05590,2.53941,0.10902,0.0002453
0.07992,0.05483,2.54773,0.11383,0.0002293
0.09222,0.05363,2.54816,0.11427,0.0002085
0.10451,0.05096,2.55898,0.11856,0.0001910
0.11681,0.04915,2.55975,0.11879,0.0001726
0.12911,0.04739,2.57471,0.12139,0.0001615
0.14140,0.04738,2.57600,0.12240,0.0001509
0.15370,0.04499,2.59746,0.12546,0.0001361
0.16599,0.04260,2.59853,0.12555,0.0001183
