x,eta,u,v,pressure
-3.14159,0.06063,2.49021,0.13813,0.0002522
-3.12930,0.06053,2.52019,0.15292,0.0002345
-3.11700,0.06019,2.52023,0.15292,0.0002152
-3.10471,0.05993,2.53070,0.15697,0.0001948
-3.09241,0.05923,2.53109,0.15696,0.0001729
-3.08011,0.05831,2.55330,0.17259,0.0001508
-3.06782,0.05651,2.55339,0.17259,0.0001280
-3.05552,0.05505,2.56978,0.17747,0.0001034
-3.04323,0.05400,2.56996,0.17747,0.0000815
-3.03093,0.05280,2.59357,0.18227,0.0000589
-3.01863,0.05100,2.59358,0.18223,0.0000292
-3.00634,0.04909,2.60879,0.18369,0.0000105
-2.99404,0.04692,2.60908,0.18366,-0.0000084
-2.98175,0.04279,2.62490,0.18616,-0.0000357
-2.96945,0.04048,2.62510,0.18612,-0.0000586
-2.95715,0.03796,2.63727,0.18558,-0.0000823
-2.94486,0.03668,2.63747,0.18544,-0.0001082
-2.93256,0.03408,2.64874,0.18056,-0.0001339
-2.92027,0.03143,2.64881,0.18047,-0.0001594
-2.90797,0.02781,2.65418,0.17572,-0.0001836
-2.89568,0.02521,2.65337,0.17555,-0.0002024
-2.88338,0.02130,2.65947,0.16332,-0.0002265
-2.87108,0.02055,2.65953,0.16323,-0.0002458
-2.85879,0.01769,2.65994,0.15411,-0.0002752
-2.84649,0.01516,2.65908,0.15389,-0.0002910
-2.83420,0.01247,2.66168,0.13479,-0.0003120
-2.82190,0.00849,2.66170,0.13468,-0.0003243
-2.80960,0.00588,2.66249,0.12169,-0.0003506
-2.79731,0.00421,2.66265,0.12159,-0.0003645
-2.78501,0.00245,2.66325,0.09794,-0.0003800
-2.77272,0.00013,2.66331,0.09791,-0.0003951
-2.76042,-0.00455,2.66525,0.08321,-0.0004079
-2.74813,-0.00666,2.66522,0.08313,-0.0004205
-2.73583,-0.00886,2.66587,0.05795,-0.0004336
-2.72353,-0.01114,2.66587,0.05795,-0.0004453
-2.71124,-0.01225,2.66741,0.04491,-0.0004558
-2.69894,-0.01443,2.66732,0.04485,-0.0004659
-2.68665,-0.01655,2.66471,0.02198,-0.0004738
-2.67435,-0.01858,2.66454,0.02198,-0.0004779
-2.66205,-0.02123,2.66624,0.01173,-0.0004845
-2.64976,-0.02318,2.66618,0.01177,-0.0004850
-2.63746,-0.02515,2.66403,-0.00940,-0.0004908
-2.62517,-0.02526,2.66402,-0.00951,-0.0004922
-2.61287,-0.02711,2.66317,-0.01867,-0.0004895
-2.60057,-0.02977,2.66270,-0.01827,-0.0004861
-2.58828,-0.03157,2.65353,-0.03703,-0.0004822
-2.57598,-0.03349,2.65326,-0.03681,-0.0004786
-2.56369,-0.03485,2.65035,-0.04376,-0.0004719
