x,eta,u,v,pressure
-3.14159,0.05814,2.51217,0.05796,0.0002018
-3.12930,0.05799,2.51153,0.05704,0.0001926
-3.11700,0.05763,2.52090,0.05451,0.0001871
-3.10471,0.05736,2.52124,0.05376,0.0001743
-3.09241,0.05630,2.53550,0.05715,0.0001642
-3.08011,0.05584,2.53590,0.05632,0.0001520
-3.06782,0.05482,2.55226,0.05410,0.0001399
-3.05552,0.05361,2.55287,0.05397,0.0001233
-3.04323,0.05246,2.56745,0.05895,0.0001078
-3.03093,0.05084,2.56801,0.05826,0.0000931
-3.01863,0.04740,2.58883,0.05971,0.0000843
-3.00634,0.04540,2.58889,0.05980,0.0000737
-2.99404,0.04355,2.60798,0.06794,0.0000590
-2.98175,0.04170,2.60816,0.06767,0.0000448
-2.96945,0.04052,2.62302,0.07073,0.0000349
-2.95715,0.03703,2.62237,0.07084,0.0000205
-2.94486,0.03583,2.63630,0.07926,0.0000050
-2.93256,0.03340,2.63641,0.07927,-0.0000073
-2.92027,0.02965,2.65080,0.08334,-0.0000344
-2.90797,0.02840,2.65071,0.08371,-0.0000471
-2.89568,0.02437,2.66950,0.08802,-0.0000627
-2.88338,0.02149,2.66998,0.08810,-0.0000778
-2.87108,0.01922,2.67850,0.09239,-0.0001011
-2.85879,0.01682,2.67918,0.09246,-0.0001225
-2.84649,0.01426,2.69066,0.09577,-0.0001369
-2.83420,0.01297,2.69070,0.09602,-0.0001520
-2.82190,0.00914,2.69899,0.09935,-0.0001703
-2.80960,0.00661,2.69926,0.09948,-0.0001890
-2.79731,0.00535,2.71439,0.09817,-0.0002084
-2.78501,0.00264,2.71439,0.09817,-0.0002241
-2.77272,-0.00126,2.71730,0.10140,-0.0002412
-2.76042,-0.00377,2.71684,0.10180,-0.0002567
-2.74813,-0.00469,2.72536,0.09599,-0.0002753
-2.73583,-0.00687,2.72540,0.09602,-0.0002947
-2.72353,-0.01017,2.72687,0.09709,-0.0003085
-2.71124,-0.01129,2.72696,0.09711,-0.0003230
-2.69894,-0.01349,2.73261,0.08622,-0.0003361
-2.68665,-0.01668,2.73266,0.08611,-0.0003498
-2.67435,-0.01772,2.72874,0.08289,-0.0003615
-2.66205,-0.02004,2.72890,0.08280,-0.0003694
-2.64976,-0.02277,2.72094,0.06441,-0.0003809
-2.63746,-0.02494,2.72092,0.06441,-0.0003871
-2.62517,-0.02676,2.70829,0.05613,-0.0004004
-2.61287,-0.02676,2.70463,0.05538,-0.0004072
-2.60057,-0.02889,2.70440,0.03748,-0.0004196
-2.58828,-0.03130,2.70412,0.03739,-0.0004278
-2.57598,-0.03204,2.69633,0.02905,-0.0004367
-2.56369,-0.03351,2.69559,0.02868,-0.0004435
-2.55139,-0.03558,2.68696,0.01151,-0.0004490
-2.53910,-0.03623,2.68689,0.01128,-0.0004526
-2.52680,-0.03806,2.68194,0.00450,-0.0004530
-2.51450,-0.03863,2.68129,0.00420,-0.0004518
-2.50221,-0.03972,2.67119,-0.01087,-0.0004485
-2.48991,-0.04115,2.67068,-0.01097,-0.0004410
-2.47762,-0.04188,2.66761,-0.01804,-0.0004311
-2.46532,-0.04251,2.66611,-0.01788,-0.0004199
-2.45302,-0.04358,2.65316,-0.03010,-0.0004081
-2.44073,-0.04421,2.65195,-0.02994,-0.0003968
-2.42843,-0.04490,2.64772,-0.03428,-0.0003811
-2.41614,-0.04505,2.64579,-0.03412,-0.0003668
-2.40384,-0.04543,2.63580,-0.04186,-0.0003512
-2.39155,-0.04604,2.63444,-0.04177,-0.0003357
-2.37925,-0.04623,2.62423,-0.04536,-0.0003209
-2.36695,-0.04630,2.62202,-0.04558,-0.0003050
-2.35466,-0.04641,2.60672,-0.05035,-0.0002911
-2.34236,-0.04643,2.60454,-0.05050,-0.0002772
-2.33007,-0.04638,2.59437,-0.05532,-0.0002655
-2.31777,-0.04605,2.59184,-0.05454,-0.0002524
-2.30547,-0.04580,2.58488,-0.05782,-0.0002429
-2.29318,-0.04538,2.58342,-0.05750,-0.0002326
-2.28088,-0.04527,2.57910,-0.06206,-0.0002257
-2.26859,-0.04471,2.57877,-0.06187,-0.0002180
-2.25629,-0.04378,2.56561,-0.06896,-0.0002142
-2.24399,-0.04334,2.56425,-0.06974,-0.0002145
-2.23170,-0.04264,2.56088,-0.07302,-0.0002124
-2.21940,-0.04154,2.55958,-0.07368,-0.0002083
-2.20711,-0.04106,2.54629,-0.08050,-0.0002017
-2.19481,-0.03959,2.54361,-0.08158,-0.0001946
-2.18252,-0.03904,2.53757,-0.08475,-0.0001891
-2.17022,-0.03790,2.53684,-0.08556,-0.0001771
-2.15792,-0.03599,2.52140,-0.09297,-0.0001675
-2.14563,-0.03414,2.52034,-0.09381,-0.0001572
-2.13333,-0.03326,2.51142,-0.09539,-0.0001444
-2.12104,-0.03105,2.51203,-0.09592,-0.0001312
-2.10874,-0.03010,2.50910,-0.10160,-0.0001235
-2.09644,-0.02892,2.50937,-0.10255,-0.0001133
-2.08415,-0.02687,2.50089,-0.10296,-0.0000997
-2.07185,-0.02522,2.50210,-0.10344,-0.0000840
-2.05956,-0.02240,2.49509,-0.10790,-0.0000728
-2.04726,-0.02103,2.49538,-0.10874,-0.0000533
-2.03497,-0.01960,2.49241,-0.10895,-0.0000373
-2.02267,-0.01644,2.49323,-0.10976,-0.0000207
-2.01037,-0.01427,2.48868,-0.10398,-0.0000017
-1.99808,-0.01317,2.48991,-0.10516,0.0000165
-1.98578,-0.00974,2.48865,-0.10605,0.0000347
-1.97349,-0.00858,2.48986,-0.10662,0.0000534
-1.96119,-0.00532,2.48689,-0.09947,0.0000601
-1.94889,-0.00378,2.48807,-0.10078,0.0000767
-1.93660,-0.00171,2.48624,-0.09965,0.0000889
-1.92430,0.00241,2.48661,-0.09968,0.0001060
-1.91201,0.00370,2.48451,-0.08668,0.0001214
-1.89971,0.00621,2.48405,-0.08677,0.0001355
-1.88741,0.01009,2.47939,-0.08348,0.0001524
-1.87512,0.01138,2.47950,-0.08342,0.0001711
-1.86282,0.01532,2.47744,-0.06726,0.0001927
-1.85053,0.01769,2.47788,-0.06750,0.0002113
-1.83823,0.02016,2.47242,-0.05827,0.0002102
-1.82594,0.02350,2.47246,-0.05839,0.0002161
-1.81364,0.02506,2.47417,-0.03966,0.0002255
-1.80134,0.02761,2.47423,-0.03961,0.0002427
-1.78905,0.03090,2.47037,-0.03241,0.0002485
-1.77675,0.03216,2.46998,-0.03240,0.0002701
-1.76446,0.03463,2.47088,-0.01079,0.0002812
-1.75216,0.03820,2.47070,-0.01060,0.0002947
-1.73986,0.03936,2.47244,-0.00227,0.0003073
-1.72757,0.04239,2.47255,-0.00190,0.0003125
-1.71527,0.04433,2.48127,0.02075,0.0003098
-1.70298,0.04675,2.48140,0.02087,0.0003113
-1.69068,0.04875,2.48467,0.02652,0.0003120
-1.67839,0.04991,2.48469,0.02669,0.0003105
-1.66609,0.05111,2.49011,0.05083,0.0003082
-1.65379,0.05335,2.49011,0.05087,0.0003049
-1.64150,0.05404,2.49834,0.05980,0.0002985
-1.62920,0.05563,2.49845,0.05979,0.0002872
-1.61691,0.05649,2.50859,0.07679,0.0002737
-1.60461,0.05685,2.50903,0.07673,0.0002663
-1.59231,0.05760,2.51558,0.08314,0.0002500
-1.58002,0.05775,2.51584,0.08311,0.0002383
-1.56772,0.05790,2.52423,0.09917,0.0002271
-1.55543,0.05774,2.52399,0.09903,0.0002155
-1.54313,0.05759,2.53037,0.10607,0.0002048
-1.53083,0.05712,2.52905,0.10595,0.0001939
-1.51854,0.05605,2.54463,0.11338,0.0001866
-1.50624,0.05558,2.54385,0.11339,0.0001732
-1.49395,0.05400,2.54960,0.11722,0.0001563
-1.48165,0.05333,2.54933,0.11751,0.0001394
-1.46936,0.05213,2.56082,0.12529,0.0001200
-1.45706,0.04903,2.56062,0.12541,0.0001021
-1.44476,0.04719,2.56802,0.12668,0.0000908
-1.43247,0.04710,2.56776,0.12650,0.0000784
-1.42017,0.04421,2.58344,0.12676,0.0000593
-1.40788,0.04239,2.58348,0.12686,0.0000424
-1.39558,0.03907,2.58737,0.12566,0.0000291
-1.38328,0.03789,2.58747,0.12569,0.0000106
-1.37099,0.03551,2.59723,0.12434,-0.0000062
-1.35869,0.03184,2.59750,0.12461,-0.0000261
-1.34640,0.02934,2.60335,0.12194,-0.0000466
-1.33410,0.02809,2.60373,0.12211,-0.0000601
-1.32181,0.02388,2.62382,0.11618,-0.0000792
-1.30951,0.02113,2.62447,0.11650,-0.0000909
-1.29721,0.02010,2.63122,0.11127,-0.0001161
-1.28492,0.01656,2.63213,0.11149,-0.0001383
-1.27262,0.01528,2.64100,0.10233,-0.0001550
-1.26033,0.01144,2.64188,0.10246,-0.0001734
-1.24803,0.01017,2.64672,0.09574,-0.0001927
-1.23573,0.00765,2.64719,0.09587,-0.0002117
-1.22344,0.00411,2.66445,0.07904,-0.0002311
-1.21114,0.00276,2.66489,0.07855,-0.0002461
-1.19885,0.00081,2.66908,0.07125,-0.0002651
-1.18655,-0.00402,2.66868,0.07134,-0.0002798
-1.17425,-0.00559,2.66968,0.05158,-0.0002951
-1.16196,-0.00807,2.66972,0.05185,-0.0003133
-1.14966,-0.01034,2.67096,0.04060,-0.0003259
-1.13737,-0.01145,2.67039,0.04111,-0.0003377
-1.12507,-0.01472,2.68473,0.01631,-0.0003464
-1.11278,-0.01578,2.68416,0.01669,-0.0003539
-1.10048,-0.01786,2.68471,0.00845,-0.0003561
-1.08818,-0.02010,2.68380,0.00854,-0.0003524
-1.07589,-0.02154,2.68227,-0.01342,-0.0003539
-1.06359,-0.02498,2.68069,-0.01343,-0.0003502
-1.05130,-0.02691,2.68071,-0.01886,-0.0003464
-1.03900,-0.02857,2.67961,-0.01865,-0.0003380
-1.02670,-0.03006,2.67953,-0.03780,-0.0003285
-1.01441,-0.03130,2.67757,-0.03818,-0.0003192
-1.00211,-0.03217,2.67836,-0.04331,-0.0003071
-0.98982,-0.03434,2.67797,-0.04342,-0.0002920
-0.97752,-0.03503,2.66999,-0.05954,-0.0002750
-0.96523,-0.03635,2.66981,-0.05977,-0.0002558
-0.95293,-0.03818,2.66496,-0.06886,-0.0002335
-0.94063,-0.03875,2.66474,-0.06922,-0.0002116
-0.92834,-0.04035,2.65601,-0.08608,-0.0001871
-0.91604,-0.04084,2.65559,-0.08645,-0.0001634
-0.90375,-0.04181,2.65113,-0.09503,-0.0001408
-0.89145,-0.04286,2.65100,-0.09569,-0.0001167
-0.87915,-0.04348,2.63834,-0.10837,-0.0000951
-0.86686,-0.04398,2.63843,-0.10915,-0.0000737
-0.85456,-0.04497,2.63575,-0.11826,-0.0000516
-0.84227,-0.04534,2.63529,-0.11878,-0.0000310
-0.82997,-0.04580,2.62566,-0.12968,-0.0000105
-0.81767,-0.04593,2.62404,-0.13011,0.0000105
-0.80538,-0.04615,2.62094,-0.13654,0.0000317
-0.79308,-0.04643,2.61970,-0.13672,0.0000509
-0.78079,-0.04646,2.61177,-0.13801,0.0000725
-0.76849,-0.04646,2.61142,-0.13765,0.0000923
-0.75620,-0.04637,2.61401,-0.14131,0.0001144
-0.74390,-0.04624,2.61382,-0.14006,0.0001344
-0.73160,-0.04600,2.61926,-0.13551,0.0001569
-0.71931,-0.04538,2.61897,-0.13508,0.0001778
-0.70701,-0.04502,2.62476,-0.13533,0.0001997
-0.69472,-0.04436,2.62478,-0.13449,0.0002200
-0.68242,-0.04377,2.62342,-0.12231,0.0002388
-0.67012,-0.04310,2.62302,-0.12208,0.0002531
-0.65783,-0.04260,2.62934,-0.11642,0.0002695
-0.64553,-0.04178,2.62869,-0.11548,0.0002886
-0.63324,-0.04093,2.62893,-0.10424,0.0002997
-0.62094,-0.03939,2.62855,-0.10361,0.0003261
-0.60865,-0.03823,2.62680,-0.10037,0.0003395
-0.59635,-0.03702,2.62679,-0.09964,0.0003623
-0.58405,-0.03573,2.61556,-0.10026,0.0003759
-0.57176,-0.03505,2.61576,-0.10002,0.0003972
-0.55946,-0.03363,2.60340,-0.10572,0.0004159
-0.54717,-0.03215,2.60189,-0.10511,0.0004326
-0.53487,-0.03022,2.58968,-0.11167,0.0004335
-0.52257,-0.02785,2.58936,-0.11109,0.0004508
-0.51028,-0.02609,2.58051,-0.11418,0.0004702
-0.49798,-0.02560,2.57951,-0.11345,0.0004880
-0.48569,-0.02370,2.56728,-0.12039,0.0005047
-0.47339,-0.02123,2.56616,-0.12040,0.0005233
-0.46109,-0.01847,2.55949,-0.12154,0.0005370
-0.44880,-0.01639,2.55826,-0.12083,0.0005470
-0.43650,-0.01423,2.55017,-0.12750,0.0005743
-0.42421,-0.01199,2.54925,-0.12827,0.0005885
-0.41191,-0.01084,2.53977,-0.13012,0.0006143
-0.39962,-0.00852,2.53809,-0.13041,0.0006318
-0.38732,-0.00620,2.52838,-0.13625,0.0006416
-0.37502,-0.00347,2.52765,-0.13622,0.0006531
-0.36273,0.00029,2.51868,-0.13836,0.0006676
-0.35043,0.00249,2.51844,-0.13816,0.0006792
-0.33814,0.00377,2.52234,-0.13539,0.0006979
-0.32584,0.00630,2.52196,-0.13505,0.0007094
-0.31354,0.00891,2.52424,-0.13440,0.0007230
-0.30125,0.01281,2.52480,-0.13416,0.0007385
-0.28895,0.01545,2.52277,-0.12629,0.0007570
-0.27666,0.01776,2.52282,-0.12652,0.0007646
-0.26436,0.02075,2.52363,-0.11958,0.0007504
-0.25207,0.02233,2.52486,-0.11915,0.0007486
-0.23977,0.02465,2.54281,-0.10106,0.0007457
-0.22747,0.02749,2.54350,-0.10052,0.0007436
-0.21518,0.03107,2.55215,-0.09131,0.0007401
-0.20288,0.03360,2.55311,-0.08864,0.0007372
-0.19059,0.03601,2.57125,-0.06400,0.0007377
-0.17829,0.03721,2.57236,-0.06333,0.0007304
-0.16599,0.03959,2.58269,-0.04909,0.0007320
-0.15370,0.04180,2.58392,-0.04744,0.0007147
-0.14140,0.04505,2.61334,-0.02521,0.0006911
-0.12911,0.04719,2.61385,-0.02474,0.0006782
-0.11681,0.04899,2.62653,-0.01364,0.0006657
-0.10451,0.05071,2.62816,-0.01260,0.0006515
-0.09222,0.05143,2.64671,0.01282,0.0006382
-0.07992,0.05319,2.64813,0.01342,0.0006250
-0.06763,0.05434,2.65980,0.02792,0.0005977
-0.05533,0.05602,2.66120,0.02788,0.0005830
-0.04304,0.05692,2.68339,0.05022,0.0005537
-0.03074,0.05760,2.68417,0.05008,0.0005429
-0.01844,0.05786,2.69165,0.06237,0.0005179
-0.00615,0.05822,2.69240,0.06230,0.0005076
0.00615,0.05838,2.70641,0.08621,0.0004833
0.01844,0.05823,2.70701,0.08627,0.0004717
0.03074,0.05787,2.71695,0.09714,0.0004457
0.04304,0.05729,2.71780,0.09707,0.0004264
0.05533,0.05651,2.73141,0.11203,0.0004065
0.06763,0.05604,2.73209,0.11212,0.0003889
0.07992,0.05497,2.74353,0.11871,0.0003653
0.09222,0.05372,2.74429,0.11865,0.0003428
0.10451,0.05251,2.75787,0.13090,0.0003198
0.11681,0.04924,2.75846,0.13087,0.0002969
0.12911,0.04741,2.77247,0.13758,0.0002829
0.14140,0.04735,2.77322,0.13758,0.0002705
0.15370,0.04467,2.79070,0.14257,0.0002522
0.16599,0.04251,2.79128,0.14243,0.0002312
0.17829,0.03918,2.80550,0.14954,0.0002194
0.19059,0.03679,2.80599,0.14959,0.0002003
0.20288,0.03436,2.81923,0.15115,0.0001820
0.21518,0.03188,2.81966,0.15119,0.0001624
0.22747,0.03061,2.83210,0.15355,0.0001412
0.23977,0.02796,2.83176,0.15330,0.0001267
0.25207,0.02389,2.84537,0.15021,0.0001099
0.26436,0.02099,2.84532,0.14990,0.0000927
0.27666,0.01873,2.85183,0.14814,0.0000623
0.28895,0.01767,2.85197,0.14723,0.0000416
0.30125,0.01489,2.86548,0.14269,0.0000277
0.31354,0.01140,2.86642,0.14175,0.0000115
0.32584,0.01011,2.87411,0.13655,-0.0000062
0.33814,0.00758,2.87393,0.13522,-0.0000261
0.35043,0.00406,2.89040,0.12688,-0.0000516
