x,eta,u,v,pressure
-3.14159,0.05811,2.61519,0.07535,0.0004721
-3.12930,0.05786,2.61534,0.07562,0.0004489
-3.11700,0.05742,2.62812,0.08268,0.0004386
-3.10471,0.05712,2.62869,0.08313,0.0004148
-3.09241,0.05591,2.64120,0.10060,0.0003962
-3.08011,0.05500,2.64137,0.10093,0.0003793
-3.06782,0.05432,2.65569,0.10880,0.0003589
-3.05552,0.05234,2.65612,0.10907,0.0003363
-3.04323,0.05030,2.67716,0.11873,0.0003138
-3.03093,0.05015,2.67686,0.11912,0.0002956
-3.01863,0.04846,2.68854,0.12547,0.0002795
-3.00634,0.04643,2.68750,0.12524,0.0002623
-2.99404,0.04290,2.70435,0.13114,0.0002351
-2.98175,0.04185,2.70371,0.13098,0.0002170
-2.96945,0.03974,2.71790,0.13373,0.0001976
-2.95715,0.03626,2.71731,0.13381,0.0001801
-2.94486,0.03388,2.73754,0.13352,0.0001511
-2.93256,0.03266,2.73774,0.13342,0.0001272
-2.92027,0.02905,2.74961,0.13154,0.0001019
-2.90797,0.02754,2.74922,0.13153,0.0000853
-2.89568,0.02347,2.76324,0.12563,0.0000635
-2.88338,0.02327,2.76310,0.12557,0.0000497
-2.87108,0.01989,2.77761,0.12014,0.0000169
-2.85879,0.01617,2.77784,0.12059,-0.0000013
-2.84649,0.01488,2.79324,0.11096,-0.0000158
-2.83420,0.01233,2.79365,0.11118,-0.0000312
-2.82190,0.00853,2.80238,0.10400,-0.0000419
-2.80960,0.00727,2.80246,0.10407,-0.0000635
-2.79731,0.00478,2.81096,0.09396,-0.0000803
-2.78501,0.00177,2.81084,0.09357,-0.0000933
-2.77272,-0.00181,2.81538,0.08845,-0.0001048
-2.76042,-0.00420,2.81466,0.08820,-0.0001174
-2.74813,-0.00543,2.82057,0.07666,-0.0001289
-2.73583,-0.00721,2.81990,0.07616,-0.0001419
-2.72353,-0.01050,2.82130,0.07040,-0.0001521
-2.71124,-0.01160,2.82069,0.07028,-0.0001633
-2.69894,-0.01374,2.82308,0.06008,-0.0001722
-2.68665,-0.01686,2.82275,0.05981,-0.0001788
-2.67435,-0.01786,2.82089,0.05628,-0.0001882
-2.66205,-0.02000,2.81990,0.05663,-0.0001918
-2.64976,-0.02261,2.81774,0.04884,-0.0001998
-2.63746,-0.02454,2.81776,0.04987,-0.0002016
-2.62517,-0.02673,2.81148,0.04640,-0.0002071
-2.61287,-0.02673,2.81071,0.04640,-0.0002111
-2.60057,-0.02859,2.79859,0.03571,-0.0002156
-2.58828,-0.03094,2.79898,0.03414,-0.0002234
-2.57598,-0.03158,2.78734,0.02760,-0.0002310
-2.56369,-0.03361,2.78706,0.02668,-0.0002370
-2.55139,-0.03497,2.77805,0.01560,-0.0002436
-2.53910,-0.03566,2.77892,0.01436,-0.0002489
-2.52680,-0.03775,2.76910,0.00810,-0.0002555
-2.51450,-0.03829,2.76802,0.00751,-0.0002611
-2.50221,-0.03930,2.75195,-0.00583,-0.0002657
-2.48991,-0.04065,2.75190,-0.00689,-0.0002727
-2.47762,-0.04139,2.73551,-0.01695,-0.0002783
-2.46532,-0.04195,2.73069,-0.01813,-0.0002799
-2.45302,-0.04284,2.71380,-0.03488,-0.0002800
-2.44073,-0.04344,2.71418,-0.03585,-0.0002806
-2.42843,-0.04409,2.70110,-0.04416,-0.0002780
-2.41614,-0.04428,2.69884,-0.04291,-0.0002744
-2.40384,-0.04464,2.68548,-0.05580,-0.0002684
-2.39155,-0.04519,2.68610,-0.05606,-0.0002590
-2.37925,-0.04535,2.67445,-0.05947,-0.0002481
-2.36695,-0.04539,2.67203,-0.05968,-0.0002338
-2.35466,-0.04548,2.66860,-0.07154,-0.0002169
-2.34236,-0.04547,2.66747,-0.07191,-0.0001978
-2.33007,-0.04526,2.66068,-0.07458,-0.0001766
-2.31777,-0.04502,2.65909,-0.07494,-0.0001551
-2.30547,-0.04475,2.65021,-0.09079,-0.0001265
-2.29318,-0.04431,2.64949,-0.09088,-0.0000963
-2.28088,-0.04412,2.64552,-0.10001,-0.0000662
-2.26859,-0.04361,2.64509,-0.09951,-0.0000392
-2.25629,-0.04275,2.63286,-0.12479,-0.0000021
-2.24399,-0.04230,2.63284,-0.12476,0.0000320
-2.23170,-0.04160,2.62122,-0.14007,0.0000717
-2.21940,-0.04036,2.62072,-0.14073,0.0000952
