x,eta,u,v,pressure
-3.14159,0.05743,2.56595,0.13139,0.0002266
-3.12930,0.05733,2.56609,0.13196,0.0002174
-3.11700,0.05720,2.58214,0.14387,0.0001964
-3.10471,0.05680,2.58223,0.14450,0.0001871
-3.09241,0.05616,2.60141,0.16105,0.0001656
-3.08011,0.05498,2.60154,0.16156,0.0001481
-3.06782,0.05385,2.61454,0.17110,0.0001303
-3.05552,0.05257,2.61458,0.17170,0.0001093
-3.04323,0.05207,2.62794,0.18326,0.0000855
-3.03093,0.05050,2.62779,0.18367,0.0000632
-3.01863,0.04882,2.63788,0.18861,0.0000476
-3.00634,0.04687,2.63708,0.18869,0.0000308
-2.99404,0.04307,2.64753,0.19796,0.0000044
-2.98175,0.04105,2.64671,0.19788,-0.0000187
-2.96945,0.03871,2.65407,0.19998,-0.0000415
-2.95715,0.03750,2.65257,0.19972,-0.0000685
-2.94486,0.03503,2.65549,0.19884,-0.0000880
-2.93256,0.03250,2.65458,0.19896,-0.0001249
-2.92027,0.02888,2.65426,0.19668,-0.0001460
-2.90797,0.02740,2.65287,0.19670,-0.0001767
-2.89568,0.02274,2.66582,0.19051,-0.0002064
-2.88338,0.02012,2.66497,0.19017,-0.0002316
-2.87108,0.01849,2.66392,0.18514,-0.0002681
-2.85879,0.01531,2.66258,0.18458,-0.0002949
-2.84649,0.01265,2.66771,0.17278,-0.0003157
-2.83420,0.01133,2.66730,0.17177,-0.0003465
-2.82190,0.00741,2.66794,0.16427,-0.0003640
-2.80960,0.00612,2.66816,0.16396,-0.0003990
-2.79731,0.00376,2.67419,0.14703,-0.0004233
-2.78501,0.00131,2.67410,0.14596,-0.0004477
-2.77272,-0.00077,2.67797,0.13641,-0.0004719
-2.76042,-0.00543,2.67816,0.13632,-0.0004945
-2.74813,-0.00668,2.67623,0.11563,-0.0005202
-2.73583,-0.00859,2.67642,0.11556,-0.0005397
-2.72353,-0.01197,2.67587,0.10370,-0.0005615
-2.71124,-0.01415,2.67553,0.10371,-0.0005744
-2.69894,-0.01521,2.68150,0.08332,-0.0005958
-2.68665,-0.01820,2.68146,0.08336,-0.0006033
-2.67435,-0.01935,2.68155,0.07099,-0.0006166
-2.66205,-0.02182,2.68110,0.07097,-0.0006257
-2.64976,-0.02266,2.67198,0.05012,-0.0006395
-2.63746,-0.02431,2.67183,0.05008,-0.0006445
-2.62517,-0.02779,2.66731,0.03496,-0.0006477
-2.61287,-0.02957,2.66660,0.03460,-0.0006481
-2.60057,-0.03004,2.65889,0.01070,-0.0006511
-2.58828,-0.03218,2.65879,0.01079,-0.0006498
-2.57598,-0.03288,2.64888,-0.00629,-0.0006470
-2.56369,-0.03420,2.64768,-0.00722,-0.0006426
-2.55139,-0.03603,2.63573,-0.03378,-0.0006362
-2.53910,-0.03661,2.63538,-0.03342,-0.0006258
-2.52680,-0.03825,2.62419,-0.04755,-0.0006165
-2.51450,-0.03924,2.62360,-0.04740,-0.0005992
-2.50221,-0.03971,2.61283,-0.07113,-0.0005891
-2.48991,-0.04098,2.61255,-0.07071,-0.0005651
