x,eta,u,v,pressure
-3.14159,0.05508,2.48470,0.11992,0.0004199
-3.12930,0.05498,2.49193,0.12680,0.0004038
-3.11700,0.05490,2.49296,0.12750,0.0003843
-3.10471,0.05452,2.48595,0.13962,0.0003633
-3.09241,0.05406,2.48608,0.13965,0.0003401
-3.08011,0.05268,2.49128,0.15083,0.0003157
-3.06782,0.05165,2.49204,0.15114,0.0002877
-3.05552,0.05038,2.50926,0.16826,0.0002624
-3.04323,0.04891,2.50936,0.16828,0.0002412
-3.03093,0.04890,2.52188,0.17533,0.0002213
-3.01863,0.04734,2.52214,0.17536,0.0001996
-3.00634,0.04395,2.50449,0.19310,0.0001727
-2.99404,0.04304,2.50459,0.19310,0.0001439
-2.98175,0.04050,2.50871,0.19897,0.0001170
-2.96945,0.03843,2.50883,0.19892,0.0000925
-2.95715,0.03735,2.51133,0.21211,0.0000577
-2.94486,0.03403,2.51136,0.21201,0.0000354
-2.93256,0.03288,2.51591,0.21051,-0.0000034
-2.92027,0.03051,2.51571,0.21037,-0.0000260
-2.90797,0.02787,2.49361,0.21367,-0.0000586
-2.89568,0.02605,2.49340,0.21339,-0.0000865
-2.88338,0.02383,2.49045,0.20914,-0.0001180
-2.87108,0.01903,2.49043,0.20896,-0.0001460
-2.85879,0.01801,2.49127,0.20419,-0.0001828
-2.84649,0.01437,2.49103,0.20392,-0.0002096
-2.83420,0.01183,2.49393,0.19751,-0.0002338
-2.82190,0.01058,2.49412,0.19749,-0.0002694
-2.80960,0.00681,2.48137,0.18644,-0.0002891
-2.79731,0.00556,2.48088,0.18652,-0.0003283
-2.78501,0.00329,2.48130,0.17747,-0.0003577
-2.77272,0.00106,2.48091,0.17731,-0.0003874
-2.76042,-0.00115,2.47994,0.15759,-0.0004143
-2.74813,-0.00558,2.47987,0.15745,-0.0004431
-2.73583,-0.00763,2.47991,0.14524,-0.0004702
-2.72353,-0.00876,2.47942,0.14510,-0.0004955
-2.71124,-0.01210,2.45962,0.12053,-0.0005210
-2.69894,-0.01425,2.45919,0.12039,-0.0005444
-2.68665,-0.01531,2.45474,0.10380,-0.0005660
-2.67435,-0.01839,2.45376,0.10356,-0.0005780
-2.66205,-0.01939,2.45262,0.07227,-0.0005974
-2.64976,-0.02121,2.45237,0.07229,-0.0006104
-2.63746,-0.02280,2.44269,0.05781,-0.0006295
-2.62517,-0.02462,2.44114,0.05747,-0.0006323
-2.61287,-0.02804,2.43627,0.02425,-0.0006423
-2.60057,-0.02962,2.43598,0.02425,-0.0006451
-2.58828,-0.03036,2.42480,0.01200,-0.0006504
-2.57598,-0.03223,2.42404,0.01179,-0.0006510
-2.56369,-0.03361,2.42070,-0.01763,-0.0006506
-2.55139,-0.03428,2.42059,-0.01756,-0.0006480
-2.53910,-0.03612,2.41184,-0.02668,-0.0006420
-2.52680,-0.03706,2.41171,-0.02663,-0.0006344
-2.51450,-0.03870,2.39741,-0.05113,-0.0006241
-2.50221,-0.03974,2.39713,-0.05104,-0.0006126
-2.48991,-0.04020,2.39004,-0.05684,-0.0006048
-2.47762,-0.04147,2.38976,-0.05660,-0.0005856
-2.46532,-0.04184,2.37647,-0.07578,-0.0005699
-2.45302,-0.04252,2.37626,-0.07558,-0.0005557
-2.44073,-0.04308,2.37084,-0.07998,-0.0005403
-2.42843,-0.04348,2.37050,-0.07971,-0.0005262
-2.41614,-0.04391,2.35471,-0.09405,-0.0005102
-2.40384,-0.04456,2.35463,-0.09401,-0.0004946
-2.39155,-0.04478,2.35034,-0.09732,-0.0004805
-2.37925,-0.04493,2.35002,-0.09719,-0.0004657
-2.36695,-0.04494,2.34412,-0.10682,-0.0004524
-2.35466,-0.04501,2.34404,-0.10678,-0.0004383
-2.34236,-0.04492,2.34265,-0.10922,-0.0004254
-2.33007,-0.04476,2.34255,-0.10911,-0.0004109
-2.31777,-0.04473,2.33063,-0.11759,-0.0003974
-2.30547,-0.04444,2.33081,-0.11758,-0.0003832
-2.29318,-0.04407,2.32695,-0.11990,-0.0003710
-2.28088,-0.04328,2.32595,-0.12004,-0.0003581
-2.26859,-0.04289,2.31481,-0.12689,-0.0003458
-2.25629,-0.04235,2.31454,-0.12699,-0.0003356
-2.24399,-0.04133,2.30718,-0.13158,-0.0003134
-2.23170,-0.04045,2.30337,-0.13248,-0.0002965
-2.21940,-0.04004,2.29454,-0.13296,-0.0002786
-2.20711,-0.03871,2.29413,-0.13295,-0.0002664
-2.19481,-0.03821,2.28806,-0.13262,-0.0002417
-2.18252,-0.03662,2.28542,-0.13270,-0.0002239
-2.17022,-0.03544,2.28980,-0.12414,-0.0002058
-2.15792,-0.03466,2.28929,-0.12409,-0.0001879
-2.14563,-0.03271,2.29162,-0.11981,-0.0001690
-2.13333,-0.03202,2.29144,-0.12001,-0.0001500
-2.12104,-0.03067,2.29616,-0.10635,-0.0001344
-2.10874,-0.02939,2.29693,-0.10703,-0.0001168
-2.09644,-0.02777,2.30537,-0.10674,-0.0000976
-2.08415,-0.02608,2.30559,-0.10686,-0.0000790
-2.07185,-0.02270,2.31552,-0.09280,-0.0000657
-2.05956,-0.02128,2.31583,-0.09320,-0.0000465
-2.04726,-0.01939,2.32234,-0.09521,-0.0000301
-2.03497,-0.01743,2.32258,-0.09536,-0.0000117
-2.02267,-0.01642,2.32696,-0.08297,-0.0000008
-2.01037,-0.01333,2.32699,-0.08319,0.0000239
-1.99808,-0.01228,2.33133,-0.08565,0.0000395
-1.98578,-0.01011,2.33147,-0.08566,0.0000574
-1.97349,-0.00680,2.33763,-0.07477,0.0000708
-1.96119,-0.00586,2.33795,-0.07475,0.0000837
-1.94889,-0.00156,2.34206,-0.07909,0.0000965
-1.93660,0.00047,2.34219,-0.07902,0.0001091
-1.92430,0.00221,2.34008,-0.06962,0.0001236
-1.91201,0.00500,2.34035,-0.06954,0.0001346
-1.89971,0.00748,2.34314,-0.07205,0.0001480
-1.88741,0.00873,2.34327,-0.07200,0.0001577
-1.87512,0.01245,2.34176,-0.06026,0.0001753
-1.86282,0.01372,2.34200,-0.06024,0.0001916
-1.85053,0.01622,2.34545,-0.06134,0.0002033
-1.83823,0.01864,2.34557,-0.06132,0.0002119
-1.82594,0.02066,2.33956,-0.04602,0.0002177
-1.81364,0.02521,2.33967,-0.04607,0.0002223
-1.80134,0.02683,2.34297,-0.04392,0.0002291
-1.78905,0.02874,2.34323,-0.04386,0.0002353
-1.77675,0.03230,2.34765,-0.02649,0.0002413
-1.76446,0.03460,2.34779,-0.02644,0.0002482
-1.75216,0.03572,2.34799,-0.02561,0.0002515
-1.73986,0.03900,2.34777,-0.02567,0.0002555
-1.72757,0.04004,2.34119,-0.00496,0.0002639
-1.71527,0.04295,2.34119,-0.00498,0.0002594
-1.70298,0.04371,2.34465,0.00280,0.0002569
-1.69068,0.04539,2.34433,0.00320,0.0002558
-1.67839,0.04843,2.36139,0.02509,0.0002536
-1.66609,0.04950,2.36119,0.02526,0.0002475
-1.65379,0.05008,2.36552,0.03026,0.0002413
-1.64150,0.05146,2.36514,0.03066,0.0002358
-1.62920,0.05232,2.36479,0.05280,0.0002324
-1.61691,0.05323,2.36448,0.05311,0.0002276
-1.60461,0.05437,2.37138,0.06204,0.0002234
-1.59231,0.05472,2.37039,0.06211,0.0002153
-1.58002,0.05499,2.39159,0.07790,0.0002064
-1.56772,0.05502,2.39149,0.07789,0.0001982
-1.55543,0.05504,2.39764,0.08325,0.0001865
-1.54313,0.05464,2.39750,0.08319,0.0001714
-1.53083,0.05418,2.39875,0.09880,0.0001562
-1.51854,0.05407,2.39867,0.09881,0.0001386
-1.50624,0.05336,2.40818,0.10619,0.0001214
-1.49395,0.05254,2.40798,0.10623,0.0001020
