x,eta,u,v,pressure
-3.14159,0.05879,2.59014,0.10100,0.0004051
-3.12930,0.05870,2.59101,0.10124,0.0003903
-3.11700,0.05816,2.60167,0.11648,0.0003749
-3.10471,0.05753,2.60229,0.11649,0.0003584
-3.09241,0.05714,2.61311,0.12793,0.0003483
-3.08011,0.05567,2.61494,0.12919,0.0003238
-3.06782,0.05505,2.62468,0.14231,0.0003055
-3.05552,0.05361,2.62516,0.14279,0.0002848
-3.04323,0.05256,2.63702,0.15519,0.0002638
-3.03093,0.05108,2.63816,0.15676,0.0002388
-3.01863,0.04757,2.64741,0.16300,0.0002217
-3.00634,0.04550,2.64740,0.16333,0.0002037
-2.99404,0.04492,2.65349,0.16856,0.0001832
-2.98175,0.04176,2.65387,0.16923,0.0001597
-2.96945,0.04065,2.65425,0.16731,0.0001415
-2.95715,0.03836,2.65450,0.16761,0.0001185
-2.94486,0.03479,2.65586,0.16681,0.0000945
-2.93256,0.03358,2.65617,0.16673,0.0000722
-2.92027,0.02984,2.65903,0.15857,0.0000462
-2.90797,0.02830,2.65918,0.15875,0.0000307
-2.89568,0.02649,2.66114,0.15455,0.0000078
-2.88338,0.02161,2.66144,0.15445,-0.0000055
-2.87108,0.01930,2.66005,0.14050,-0.0000323
-2.85879,0.01796,2.66035,0.14060,-0.0000550
-2.84649,0.01440,2.66284,0.13508,-0.0000723
-2.83420,0.01310,2.66304,0.13509,-0.0000896
-2.82190,0.00924,2.66399,0.11807,-0.0001092
-2.80960,0.00796,2.66388,0.11787,-0.0001225
-2.79731,0.00540,2.66738,0.11262,-0.0001483
-2.78501,0.00262,2.66695,0.11236,-0.0001642
-2.77272,-0.00144,2.66564,0.08995,-0.0001823
-2.76042,-0.00149,2.66565,0.09001,-0.0001995
-2.74813,-0.00488,2.66696,0.08286,-0.0002177
-2.73583,-0.00804,2.66670,0.08286,-0.0002375
-2.72353,-0.00920,2.66816,0.05817,-0.0002534
-2.71124,-0.01261,2.66804,0.05842,-0.0002713
-2.69894,-0.01372,2.66890,0.04882,-0.0002868
-2.68665,-0.01696,2.66853,0.04871,-0.0003031
-2.67435,-0.01896,2.66301,0.02645,-0.0003158
-2.66205,-0.02001,2.66337,0.02629,-0.0003240
-2.64976,-0.02302,2.66022,0.01562,-0.0003370
-2.63746,-0.02535,2.65982,0.01541,-0.0003432
-2.62517,-0.02535,2.65882,-0.00557,-0.0003555
-2.61287,-0.02727,2.65883,-0.00595,-0.0003608
-2.60057,-0.02915,2.64987,-0.01417,-0.0003669
-2.58828,-0.03167,2.64801,-0.01483,-0.0003720
-2.57598,-0.03313,2.63430,-0.03094,-0.0003761
-2.56369,-0.03382,2.63329,-0.03160,-0.0003792
-2.55139,-0.03582,2.61877,-0.03990,-0.0003782
-2.53910,-0.03709,2.61618,-0.04063,-0.0003753
-2.52680,-0.03773,2.60911,-0.05212,-0.0003697
-2.51450,-0.03957,2.60776,-0.05277,-0.0003606
-2.50221,-0.04010,2.59695,-0.05876,-0.0003503
-2.48991,-0.04109,2.59453,-0.05927,-0.0003374
-2.47762,-0.04212,2.57004,-0.06966,-0.0003229
-2.46532,-0.04272,2.56821,-0.06976,-0.0003066
-2.45302,-0.04380,2.55048,-0.07463,-0.0002902
-2.44073,-0.04445,2.54658,-0.07505,-0.0002704
-2.42843,-0.04507,2.52975,-0.07983,-0.0002513
-2.41614,-0.04552,2.52723,-0.08013,-0.0002331
-2.40384,-0.04555,2.52037,-0.08307,-0.0002146
-2.39155,-0.04591,2.51832,-0.08310,-0.0001947
-2.37925,-0.04636,2.48795,-0.09005,-0.0001758
-2.36695,-0.04647,2.48700,-0.09021,-0.0001560
-2.35466,-0.04650,2.47910,-0.09352,-0.0001366
-2.34236,-0.04650,2.47853,-0.09344,-0.0001166
-2.33007,-0.04644,2.46078,-0.09833,-0.0000974
-2.31777,-0.04610,2.46169,-0.09904,-0.0000768
-2.30547,-0.04582,2.45185,-0.10249,-0.0000566
-2.29318,-0.04575,2.45177,-0.10286,-0.0000344
-2.28088,-0.04537,2.44291,-0.11114,-0.0000143
-2.26859,-0.04482,2.44373,-0.11187,0.0000075
-2.25629,-0.04425,2.43859,-0.12066,0.0000281
-2.24399,-0.04323,2.43838,-0.12164,0.0000491
-2.23170,-0.04269,2.43782,-0.13371,0.0000717
-2.21940,-0.04169,2.43837,-0.13472,0.0000961
-2.20711,-0.04062,2.43866,-0.14661,0.0001208
-2.19481,-0.04008,2.43884,-0.14704,0.0001458
-2.18252,-0.03855,2.44307,-0.16237,0.0001697
-2.17022,-0.03799,2.44381,-0.16429,0.0001950
-2.15792,-0.03678,2.44333,-0.17154,0.0002196
-2.14563,-0.03481,2.44370,-0.17059,0.0002431
-2.13333,-0.03411,2.44595,-0.18053,0.0002686
-2.12104,-0.03190,2.44598,-0.18019,0.0002955
-2.10874,-0.03104,2.44477,-0.18179,0.0003162
-2.09644,-0.02851,2.44491,-0.18071,0.0003397
-2.08415,-0.02648,2.44406,-0.17656,0.0003649
-2.07185,-0.02584,2.44385,-0.17554,0.0003887
-2.05956,-0.02426,2.44104,-0.16357,0.0004113
-2.04726,-0.02116,2.44056,-0.16231,0.0004373
-2.03497,-0.02017,2.44373,-0.14508,0.0004630
-2.02267,-0.01825,2.44304,-0.14403,0.0004887
-2.01037,-0.01509,2.43704,-0.13054,0.0005126
-1.99808,-0.01401,2.43491,-0.13015,0.0005373
-1.98578,-0.01066,2.44187,-0.09978,0.0005604
-1.97349,-0.00952,2.44019,-0.09904,0.0005848
-1.96119,-0.00720,2.43810,-0.08449,0.0005988
-1.94889,-0.00445,2.43635,-0.08386,0.0006102
-1.93660,-0.00230,2.44779,-0.04907,0.0006209
-1.92430,0.00062,2.44564,-0.04880,0.0006320
-1.91201,0.00392,2.44053,-0.03315,0.0006379
-1.89971,0.00527,2.43980,-0.03301,0.0006457
-1.88741,0.00906,2.44425,0.00497,0.0006520
-1.87512,0.01169,2.44295,0.00524,0.0006591
-1.86282,0.01303,2.44371,0.01567,0.0006676
-1.85053,0.01691,2.44240,0.01574,0.0006725
-1.83823,0.01904,2.44812,0.04455,0.0006560
-1.82594,0.02113,2.44624,0.04492,0.0006433
-1.81364,0.02420,2.44022,0.05092,0.0006245
-1.80134,0.02704,2.43876,0.05169,0.0006143
-1.78905,0.03041,2.44441,0.07469,0.0006028
-1.77675,0.03302,2.44295,0.07522,0.0005934
-1.76446,0.03431,2.44783,0.07914,0.0005835
-1.75216,0.03807,2.44718,0.08015,0.0005749
-1.73986,0.04046,2.46420,0.09509,0.0005654
-1.72757,0.04158,2.46439,0.09588,0.0005485
-1.71527,0.04501,2.47118,0.09692,0.0005290
-1.70298,0.04683,2.47155,0.09787,0.0005129
-1.69068,0.04812,2.48922,0.11058,0.0004966
-1.67839,0.05048,2.49021,0.11099,0.0004809
-1.66609,0.05174,2.50311,0.11002,0.0004636
-1.65379,0.05401,2.50351,0.11039,0.0004468
-1.64150,0.05470,2.52924,0.11500,0.0004276
-1.62920,0.05590,2.53024,0.11459,0.0004155
-1.61691,0.05726,2.54236,0.10943,0.0003986
-1.60461,0.05795,2.54305,0.10896,0.0003782
-1.59231,0.05821,2.55441,0.11117,0.0003643
-1.58002,0.05864,2.55499,0.11035,0.0003504
-1.56772,0.05868,2.56607,0.10656,0.0003362
-1.55543,0.05846,2.56462,0.10580,0.0003213
-1.54313,0.05804,2.57810,0.10475,0.0003069
