x,eta,u,v,pressure
-3.14159,0.05560,2.44917,0.12410,0.0003198
-3.12930,0.05555,2.44956,0.12393,0.0003034
-3.11700,0.05513,2.45476,0.12715,0.0002864
-3.10471,0.05466,2.45523,0.12698,0.0002676
-3.09241,0.05374,2.46384,0.13206,0.0002489
-3.08011,0.05355,2.46421,0.13203,0.0002259
-3.06782,0.05262,2.47242,0.13439,0.0002028
-3.05552,0.05027,2.47300,0.13423,0.0001763
-3.04323,0.04894,2.47304,0.13622,0.0001564
-3.03093,0.04886,2.47333,0.13615,0.0001404
-3.01863,0.04731,2.48270,0.13849,0.0001228
-3.00634,0.04542,2.48312,0.13827,0.0001032
-2.99404,0.04242,2.49595,0.13721,0.0000794
-2.98175,0.04146,2.49591,0.13694,0.0000628
-2.96945,0.03943,2.50604,0.13801,0.0000410
-2.95715,0.03619,2.50607,0.13763,0.0000174
-2.94486,0.03394,2.51547,0.13404,-0.0000057
-2.93256,0.03278,2.51563,0.13386,-0.0000290
-2.92027,0.02923,2.52557,0.13204,-0.0000536
-2.90797,0.02797,2.52612,0.13207,-0.0000713
-2.89568,0.02607,2.53516,0.12170,-0.0000995
-2.88338,0.02113,2.53543,0.12152,-0.0001162
-2.87108,0.01899,2.54314,0.11647,-0.0001471
-2.85879,0.01668,2.54332,0.11640,-0.0001728
-2.84649,0.01414,2.54417,0.10131,-0.0001958
-2.83420,0.01288,2.54437,0.10132,-0.0002182
-2.82190,0.00911,2.54743,0.09287,-0.0002405
-2.80960,0.00785,2.54682,0.09237,-0.0002601
-2.79731,0.00537,2.55046,0.07235,-0.0002764
-2.78501,0.00299,2.54983,0.07226,-0.0002859
-2.77272,0.00104,2.54758,0.06289,-0.0002952
-2.76042,-0.00372,2.54674,0.06276,-0.0003012
-2.74813,-0.00574,2.53817,0.04083,-0.0003049
-2.73583,-0.00669,2.53794,0.04108,-0.0003139
-2.72353,-0.00999,2.52955,0.03173,-0.0003171
-2.71124,-0.01220,2.52883,0.03169,-0.0003209
-2.69894,-0.01328,2.52575,0.01329,-0.0003226
-2.68665,-0.01645,2.52550,0.01325,-0.0003239
-2.67435,-0.01747,2.51525,0.00797,-0.0003232
-2.66205,-0.01948,2.51425,0.00767,-0.0003181
-2.64976,-0.02124,2.49984,-0.00686,-0.0003171
-2.63746,-0.02294,2.50012,-0.00723,-0.0003141
-2.62517,-0.02636,2.49099,-0.00844,-0.0003102
-2.61287,-0.02811,2.49134,-0.00795,-0.0003050
-2.60057,-0.02959,2.47905,-0.01787,-0.0003003
-2.58828,-0.03090,2.47917,-0.01798,-0.0002975
-2.57598,-0.03234,2.46849,-0.01934,-0.0002939
-2.56369,-0.03305,2.46713,-0.01971,-0.0002899
-2.55139,-0.03508,2.44267,-0.02806,-0.0002846
-2.53910,-0.03572,2.44250,-0.02820,-0.0002789
-2.52680,-0.03750,2.42704,-0.03050,-0.0002722
-2.51450,-0.03860,2.42587,-0.03074,-0.0002651
-2.50221,-0.03914,2.40953,-0.04014,-0.0002582
-2.48991,-0.04069,2.40919,-0.04023,-0.0002498
-2.47762,-0.04114,2.39470,-0.04511,-0.0002421
-2.46532,-0.04198,2.39332,-0.04547,-0.0002334
-2.45302,-0.04284,2.37283,-0.05485,-0.0002256
-2.44073,-0.04327,2.37172,-0.05510,-0.0002195
-2.42843,-0.04378,2.35683,-0.06023,-0.0002133
-2.41614,-0.04458,2.35462,-0.06101,-0.0002075
-2.40384,-0.04492,2.34057,-0.07426,-0.0002020
-2.39155,-0.04519,2.33832,-0.07517,-0.0001957
-2.37925,-0.04523,2.32592,-0.08425,-0.0001901
-2.36695,-0.04538,2.32248,-0.08560,-0.0001839
-2.35466,-0.04546,2.30401,-0.10002,-0.0001782
-2.34236,-0.04538,2.30172,-0.10084,-0.0001710
-2.33007,-0.04535,2.28450,-0.10809,-0.0001644
-2.31777,-0.04514,2.28069,-0.10829,-0.0001571
-2.30547,-0.04491,2.26950,-0.12131,-0.0001511
-2.29318,-0.04423,2.26832,-0.12106,-0.0001423
-2.28088,-0.04383,2.25327,-0.12390,-0.0001361
-2.26859,-0.04331,2.25158,-0.12322,-0.0001299
-2.25629,-0.04261,2.23551,-0.12724,-0.0001267
-2.24399,-0.04194,2.23476,-0.12718,-0.0001166
-2.23170,-0.04151,2.22724,-0.12483,-0.0001050
-2.21940,-0.04026,2.22521,-0.12435,-0.0000925
-2.20711,-0.03962,2.22102,-0.11935,-0.0000790
-2.19481,-0.03848,2.22084,-0.12021,-0.0000644
