x,eta,u,v,pressure
-3.14159,0.05991,2.46940,0.06241,0.0002086
-3.12930,0.05978,2.47408,0.05967,0.0001993
-3.11700,0.05940,2.47478,0.05964,0.0001888
-3.10471,0.05912,2.48761,0.05601,0.0001781
-3.09241,0.05796,2.48853,0.05621,0.0001669
-3.08011,0.05746,2.50111,0.05165,0.0001561
-3.06782,0.05630,2.50156,0.05209,0.0001448
-3.05552,0.05437,2.50974,0.04947,0.0001318
-3.04323,0.05350,2.51047,0.04990,0.0001194
-3.03093,0.05053,2.52129,0.04803,0.0001058
-3.01863,0.04850,2.52108,0.04829,0.0000912
-3.00634,0.04846,2.53206,0.04753,0.0000823
-2.99404,0.04614,2.53207,0.04832,0.0000718
-2.98175,0.04244,2.55594,0.04351,0.0000544
-2.96945,0.04121,2.55567,0.04394,0.0000444
-2.95715,0.03754,2.56587,0.04382,0.0000304
-2.94486,0.03628,2.56583,0.04398,0.0000157
-2.93256,0.03241,2.58096,0.04113,0.0000010
-2.92027,0.02987,2.58060,0.04147,-0.0000134
-2.90797,0.02850,2.59746,0.04014,-0.0000263
-2.89568,0.02479,2.59736,0.04051,-0.0000365
-2.88338,0.02107,2.62685,0.03256,-0.0000460
-2.87108,0.02025,2.62685,0.03256,-0.0000591
-2.85879,0.01621,2.63819,0.03298,-0.0000779
-2.84649,0.01486,2.63800,0.03311,-0.0000867
-2.83420,0.01081,2.65387,0.02786,-0.0000974
-2.82190,0.00815,2.65368,0.02840,-0.0001078
-2.80960,0.00682,2.66822,0.02855,-0.0001208
-2.79731,0.00376,2.66846,0.02886,-0.0001313
-2.78501,0.00189,2.68590,0.02285,-0.0001428
-2.77272,-0.00032,2.68601,0.02297,-0.0001539
-2.76042,-0.00498,2.69906,0.02343,-0.0001621
-2.74813,-0.00639,2.69964,0.02398,-0.0001765
-2.73583,-0.00825,2.70380,0.01971,-0.0001871
-2.72353,-0.01171,2.70421,0.02009,-0.0001977
-2.71124,-0.01284,2.71738,0.02005,-0.0002076
-2.69894,-0.01614,2.71852,0.02071,-0.0002176
-2.68665,-0.01722,2.72579,0.01405,-0.0002268
-2.67435,-0.01930,2.72653,0.01440,-0.0002320
-2.66205,-0.02223,2.73678,0.01383,-0.0002441
-2.64976,-0.02319,2.73781,0.01414,-0.0002481
-2.63746,-0.02486,2.73694,0.00769,-0.0002606
-2.62517,-0.02834,2.73781,0.00775,-0.0002650
-2.61287,-0.02976,2.74306,0.00512,-0.0002758
-2.60057,-0.03141,2.74329,0.00504,-0.0002852
-2.58828,-0.03289,2.74324,-0.00426,-0.0002962
-2.57598,-0.03364,2.74364,-0.00451,-0.0003050
-2.56369,-0.03580,2.74610,-0.01028,-0.0003171
-2.55139,-0.03648,2.74621,-0.01077,-0.0003276
-2.53910,-0.03778,2.74238,-0.02034,-0.0003384
-2.52680,-0.03957,2.74298,-0.02105,-0.0003480
-2.51450,-0.04013,2.74040,-0.03065,-0.0003571
-2.50221,-0.04119,2.73845,-0.03190,-0.0003628
-2.48991,-0.04242,2.74278,-0.04196,-0.0003668
-2.47762,-0.04320,2.74288,-0.04299,-0.0003704
-2.46532,-0.04416,2.73841,-0.05472,-0.0003717
-2.45302,-0.04451,2.73683,-0.05579,-0.0003701
-2.44073,-0.04507,2.73226,-0.07053,-0.0003640
