x,eta,u,v,pressure
-3.14159,0.05726,2.57915,0.09293,0.0003063
-3.12930,0.05700,2.57952,0.09225,0.0002886
-3.11700,0.05680,2.58673,0.09980,0.0002773
-3.10471,0.05625,2.58729,0.09968,0.0002550
-3.09241,0.05508,2.59666,0.10509,0.0002387
-3.08011,0.05445,2.59706,0.10409,0.0002138
-3.06782,0.05277,2.60333,0.11087,0.0001918
-3.05552,0.05240,2.60368,0.11058,0.0001645
-3.04323,0.05106,2.61125,0.11211,0.0001407
-3.03093,0.04781,2.61177,0.11162,0.0001235
-3.01863,0.04594,2.61058,0.11328,0.0001057
-3.00634,0.04556,2.61021,0.11321,0.0000881
-2.99404,0.04256,2.61493,0.11039,0.0000678
-2.98175,0.04135,2.61395,0.10968,0.0000503
-2.96945,0.03804,2.61214,0.10718,0.0000310
-2.95715,0.03690,2.61047,0.10613,0.0000115
-2.94486,0.03458,2.61566,0.09915,-0.0000060
-2.93256,0.03100,2.61433,0.09815,-0.0000194
-2.92027,0.02880,2.61393,0.09001,-0.0000392
-2.90797,0.02747,2.61336,0.08819,-0.0000505
-2.89568,0.02297,2.61577,0.07345,-0.0000607
-2.88338,0.02038,2.61599,0.07168,-0.0000691
-2.87108,0.01831,2.62235,0.05863,-0.0000852
-2.85879,0.01596,2.62314,0.05624,-0.0000924
-2.84649,0.01469,2.63668,0.03599,-0.0000975
-2.83420,0.01085,2.63807,0.03383,-0.0001012
-2.82190,0.00958,2.65484,0.02075,-0.0001085
-2.80960,0.00704,2.65670,0.01906,-0.0001140
-2.79731,0.00371,2.67862,0.00253,-0.0001234
-2.78501,0.00223,2.68019,0.00126,-0.0001280
-2.77272,0.00024,2.70430,-0.00733,-0.0001318
-2.76042,-0.00455,2.70755,-0.00753,-0.0001348
-2.74813,-0.00597,2.73872,-0.01852,-0.0001423
-2.73583,-0.00863,2.74192,-0.01801,-0.0001480
-2.72353,-0.01088,2.76278,-0.02175,-0.0001518
-2.71124,-0.01199,2.76611,-0.02113,-0.0001576
-2.69894,-0.01522,2.78597,-0.02600,-0.0001599
-2.68665,-0.01627,2.78760,-0.02528,-0.0001653
-2.67435,-0.01833,2.80402,-0.02765,-0.0001662
-2.66205,-0.02039,2.80577,-0.02739,-0.0001665
-2.64976,-0.02180,2.82772,-0.03136,-0.0001720
-2.63746,-0.02541,2.82827,-0.03119,-0.0001729
-2.62517,-0.02719,2.83963,-0.03266,-0.0001749
-2.61287,-0.02884,2.84017,-0.03255,-0.0001757
-2.60057,-0.03029,2.84878,-0.03198,-0.0001796
-2.58828,-0.03161,2.84924,-0.03196,-0.0001833
-2.57598,-0.03235,2.85604,-0.03324,-0.0001846
-2.56369,-0.03447,2.85613,-0.03303,-0.0001845
-2.55139,-0.03514,2.86941,-0.03572,-0.0001833
-2.53910,-0.03642,2.86936,-0.03587,-0.0001810
-2.52680,-0.03820,2.87134,-0.03401,-0.0001763
-2.51450,-0.03876,2.87179,-0.03330,-0.0001732
-2.50221,-0.04031,2.87215,-0.03611,-0.0001660
-2.48991,-0.04079,2.87235,-0.03578,-0.0001609
-2.47762,-0.04169,2.87164,-0.03470,-0.0001532
-2.46532,-0.04267,2.87142,-0.03317,-0.0001482
-2.45302,-0.04335,2.87525,-0.03637,-0.0001419
-2.44073,-0.04382,2.87481,-0.03569,-0.0001370
-2.42843,-0.04480,2.86794,-0.03721,-0.0001307
-2.41614,-0.04522,2.86617,-0.03630,-0.0001243
-2.40384,-0.04561,2.85547,-0.04147,-0.0001178
-2.39155,-0.04568,2.85498,-0.04181,-0.0001103
-2.37925,-0.04589,2.83710,-0.04294,-0.0001028
-2.36695,-0.04613,2.83414,-0.04398,-0.0000924
-2.35466,-0.04614,2.81140,-0.04924,-0.0000817
-2.34236,-0.04613,2.80731,-0.05033,-0.0000681
-2.33007,-0.04601,2.78097,-0.05335,-0.0000544
-2.31777,-0.04584,2.77369,-0.05467,-0.0000372
-2.30547,-0.04558,2.74694,-0.05886,-0.0000197
-2.29318,-0.04485,2.74270,-0.05890,0.0000010
-2.28088,-0.04443,2.71996,-0.06031,0.0000196
