x,eta,u,v,pressure
-3.14159,0.05741,2.49267,0.08092,0.0002749
-3.12930,0.05730,2.49293,0.07866,0.0002595
-3.11700,0.05694,2.49057,0.07769,0.0002537
-3.10471,0.05603,2.50559,0.07518,0.0002393
-3.09241,0.05527,2.50481,0.07467,0.0002269
-3.08011,0.05426,2.50481,0.07071,0.0002122
-3.06782,0.05368,2.50316,0.07041,0.0001976
-3.05552,0.05257,2.51639,0.06872,0.0001788
-3.04323,0.05112,2.51596,0.06858,0.0001633
-3.03093,0.04953,2.52323,0.06653,0.0001532
-3.01863,0.04783,2.52287,0.06624,0.0001445
-3.00634,0.04398,2.54419,0.06596,0.0001321
-2.99404,0.04230,2.54414,0.06562,0.0001182
-2.98175,0.04124,2.55321,0.06522,0.0001082
-2.96945,0.03786,2.55335,0.06509,0.0000941
-2.95715,0.03552,2.57083,0.06414,0.0000841
-2.94486,0.03434,2.57103,0.06395,0.0000686
-2.93256,0.03071,2.58294,0.06369,0.0000622
-2.92027,0.02949,2.58357,0.06355,0.0000482
-2.90797,0.02739,2.60360,0.06501,0.0000421
-2.89568,0.02504,2.60438,0.06460,0.0000370
-2.88338,0.02261,2.61580,0.06432,0.0000317
-2.87108,0.01805,2.61699,0.06383,0.0000190
-2.85879,0.01679,2.63007,0.06458,0.0000127
-2.84649,0.01420,2.63124,0.06393,0.0000072
-2.83420,0.01033,2.64317,0.06441,-0.0000025
-2.82190,0.00778,2.64430,0.06374,-0.0000080
-2.80960,0.00651,2.66166,0.06420,-0.0000225
-2.79731,0.00389,2.66277,0.06365,-0.0000302
-2.78501,0.00002,2.67174,0.06287,-0.0000420
-2.77272,-0.00254,2.67338,0.06216,-0.0000523
-2.76042,-0.00262,2.68704,0.06286,-0.0000633
-2.74813,-0.00602,2.68806,0.06235,-0.0000811
-2.73583,-0.00897,2.69827,0.06214,-0.0000922
-2.72353,-0.01009,2.69936,0.06164,-0.0001045
-2.71124,-0.01229,2.71563,0.05893,-0.0001169
-2.69894,-0.01548,2.71606,0.05860,-0.0001303
-2.68665,-0.01652,2.71980,0.05589,-0.0001380
-2.67435,-0.01854,2.72019,0.05544,-0.0001524
-2.66205,-0.02095,2.72549,0.05014,-0.0001648
-2.64976,-0.02339,2.72599,0.04983,-0.0001758
-2.63746,-0.02514,2.72259,0.04430,-0.0001941
-2.62517,-0.02516,2.72001,0.04342,-0.0002007
-2.61287,-0.02685,2.73042,0.03155,-0.0002172
-2.60057,-0.02971,2.73074,0.03134,-0.0002251
-2.58828,-0.03037,2.72121,0.02276,-0.0002393
-2.57598,-0.03208,2.71888,0.02214,-0.0002478
-2.56369,-0.03411,2.72328,0.00893,-0.0002565
-2.55139,-0.03511,2.72287,0.00868,-0.0002656
-2.53910,-0.03684,2.71176,-0.00200,-0.0002725
-2.52680,-0.03740,2.71070,-0.00241,-0.0002778
-2.51450,-0.03845,2.70704,-0.02258,-0.0002811
-2.50221,-0.04000,2.70675,-0.02266,-0.0002819
-2.48991,-0.04086,2.68966,-0.03556,-0.0002821
-2.47762,-0.04126,2.68409,-0.03754,-0.0002808
-2.46532,-0.04207,2.67728,-0.05668,-0.0002747
-2.45302,-0.04274,2.67599,-0.05724,-0.0002696
-2.44073,-0.04340,2.66139,-0.06890,-0.0002603
-2.42843,-0.04366,2.65848,-0.06962,-0.0002532
-2.41614,-0.04409,2.64993,-0.08671,-0.0002410
-2.40384,-0.04473,2.64976,-0.08691,-0.0002277
-2.39155,-0.04493,2.63759,-0.09452,-0.0002132
-2.37925,-0.04495,2.63643,-0.09456,-0.0001965
-2.36695,-0.04508,2.62550,-0.10676,-0.0001791
-2.35466,-0.04511,2.62564,-0.10697,-0.0001599
-2.34236,-0.04508,2.61258,-0.11179,-0.0001395
-2.33007,-0.04475,2.61046,-0.11210,-0.0001166
-2.31777,-0.04449,2.59701,-0.12158,-0.0000933
