x,eta,u,v,pressure
-3.14159,0.05940,2.65464,0.07286,0.0003715
-3.12930,0.05932,2.65634,0.07221,0.0003572
-3.11700,0.05899,2.68565,0.08535,0.0003429
-3.10471,0.05843,2.68754,0.08457,0.0003271
-3.09241,0.05765,2.71302,0.09464,0.0003115
-3.08011,0.05607,2.71413,0.09453,0.0002948
-3.06782,0.05480,2.74072,0.10987,0.0002770
-3.05552,0.05356,2.74203,0.10936,0.0002575
-3.04323,0.05261,2.77110,0.12108,0.0002374
-3.03093,0.05099,2.77225,0.12096,0.0002174
-3.01863,0.04717,2.80462,0.13145,0.0002029
-3.00634,0.04494,2.80545,0.13113,0.0001856
-2.99404,0.04298,2.83018,0.13919,0.0001641
-2.98175,0.04080,2.83161,0.13914,0.0001464
-2.96945,0.03958,2.85783,0.14752,0.0001283
-2.95715,0.03706,2.85852,0.14705,0.0001103
-2.94486,0.03450,2.87819,0.14777,0.0000836
-2.93256,0.03187,2.87908,0.14773,0.0000671
-2.92027,0.02807,2.89402,0.15202,0.0000370
-2.90797,0.02613,2.89483,0.15165,0.0000179
-2.89568,0.02172,2.90959,0.14881,-0.0000040
-2.88338,0.02126,2.91006,0.14858,-0.0000197
-2.87108,0.01807,2.90366,0.14392,-0.0000567
-2.85879,0.01562,2.90413,0.14391,-0.0000724
-2.84649,0.01157,2.90441,0.13742,-0.0000899
-2.83420,0.01023,2.90346,0.13698,-0.0001134
-2.82190,0.00625,2.90906,0.12498,-0.0001267
-2.80960,0.00427,2.90960,0.12504,-0.0001553
-2.79731,0.00150,2.90835,0.11604,-0.0001774
-2.78501,-0.00199,2.90856,0.11615,-0.0001994
-2.77272,-0.00231,2.90314,0.09994,-0.0002231
-2.76042,-0.00560,2.90355,0.10003,-0.0002525
-2.74813,-0.00874,2.89836,0.08903,-0.0002754
-2.73583,-0.00991,2.89838,0.08873,-0.0003012
-2.72353,-0.01221,2.90160,0.07127,-0.0003264
-2.71124,-0.01553,2.90161,0.07087,-0.0003519
-2.69894,-0.01661,2.90371,0.05981,-0.0003757
-2.68665,-0.01928,2.90343,0.05953,-0.0003907
-2.67435,-0.02138,2.89321,0.03806,-0.0004103
-2.66205,-0.02237,2.89326,0.03766,-0.0004304
-2.64976,-0.02421,2.89388,0.02734,-0.0004547
-2.63746,-0.02601,2.89378,0.02697,-0.0004624
-2.62517,-0.02793,2.88507,0.00515,-0.0004778
-2.61287,-0.03084,2.88496,0.00476,-0.0004808
-2.60057,-0.03154,2.88212,-0.00762,-0.0004914
-2.58828,-0.03375,2.88235,-0.00789,-0.0004963
-2.57598,-0.03516,2.87097,-0.02879,-0.0005006
-2.56369,-0.03584,2.87063,-0.02923,-0.0005005
-2.55139,-0.03774,2.86423,-0.04179,-0.0004931
-2.53910,-0.03833,2.86328,-0.04159,-0.0004823
-2.52680,-0.03946,2.84340,-0.06349,-0.0004657
-2.51450,-0.04094,2.84251,-0.06405,-0.0004435
-2.50221,-0.04147,2.83054,-0.07733,-0.0004245
-2.48991,-0.04236,2.82895,-0.07756,-0.0003877
-2.47762,-0.04339,2.79905,-0.09467,-0.0003564
-2.46532,-0.04420,2.79775,-0.09465,-0.0003172
-2.45302,-0.04490,2.78089,-0.10493,-0.0002770
