x,eta,u,v,pressure
-3.14159,0.05856,2.48594,0.05415,0.0003758
-3.12930,0.05862,2.48690,0.05460,0.0003681
-3.11700,0.05827,2.49300,0.06184,0.0003499
-3.10471,0.05776,2.49545,0.06253,0.0003356
-3.09241,0.05742,2.50516,0.07163,0.0003219
-3.08011,0.05612,2.50581,0.07165,0.0003122
-3.06782,0.05552,2.52104,0.07770,0.0002908
-3.05552,0.05405,2.52322,0.07752,0.0002715
-3.04323,0.05298,2.54587,0.08177,0.0002529
-3.03093,0.05161,2.54653,0.08138,0.0002303
-3.01863,0.04818,2.56255,0.08360,0.0002161
-3.00634,0.04612,2.56376,0.08325,0.0002017
-2.99404,0.04569,2.58199,0.08856,0.0001845
-2.98175,0.04250,2.58307,0.08808,0.0001594
-2.96945,0.03997,2.60348,0.09146,0.0001424
-2.95715,0.03877,2.60485,0.09211,0.0001236
-2.94486,0.03505,2.62965,0.09133,0.0001079
-2.93256,0.03379,2.63069,0.09090,0.0000795
-2.92027,0.02990,2.64938,0.09019,0.0000546
-2.90797,0.02826,2.64982,0.09063,0.0000382
-2.89568,0.02637,2.66855,0.08818,0.0000191
-2.88338,0.02134,2.66900,0.08822,0.0000025
-2.87108,0.01925,2.68328,0.08623,-0.0000230
-2.85879,0.01759,2.68342,0.08638,-0.0000421
-2.84649,0.01379,2.69910,0.08068,-0.0000568
-2.83420,0.01245,2.69929,0.08091,-0.0000705
-2.82190,0.00844,2.70663,0.07759,-0.0000876
-2.80960,0.00593,2.70595,0.07776,-0.0000996
-2.79731,0.00431,2.71010,0.06797,-0.0001230
-2.78501,0.00116,2.71000,0.06809,-0.0001382
-2.77272,-0.00007,2.71675,0.06314,-0.0001558
-2.76042,-0.00304,2.71666,0.06347,-0.0001720
-2.74813,-0.00694,2.72574,0.05076,-0.0001943
-2.73583,-0.00799,2.72555,0.05084,-0.0002127
-2.72353,-0.01029,2.73092,0.04358,-0.0002306
-2.71124,-0.01367,2.73135,0.04386,-0.0002447
-2.69894,-0.01476,2.72778,0.02652,-0.0002682
-2.68665,-0.01787,2.72810,0.02682,-0.0002865
-2.67435,-0.01906,2.73161,0.01698,-0.0003011
-2.66205,-0.02071,2.73240,0.01684,-0.0003127
-2.64976,-0.02238,2.73280,-0.00252,-0.0003326
-2.63746,-0.02402,2.73365,-0.00259,-0.0003433
-2.62517,-0.02573,2.73236,-0.01491,-0.0003582
-2.61287,-0.02891,2.73317,-0.01550,-0.0003580
-2.60057,-0.03005,2.73137,-0.03389,-0.0003634
-2.58828,-0.03250,2.73221,-0.03489,-0.0003657
-2.57598,-0.03392,2.72912,-0.04669,-0.0003645
-2.56369,-0.03461,2.72947,-0.04760,-0.0003613
-2.55139,-0.03650,2.72526,-0.06399,-0.0003512
-2.53910,-0.03710,2.72578,-0.06514,-0.0003387
-2.52680,-0.03822,2.71972,-0.07609,-0.0003266
-2.51450,-0.03974,2.71919,-0.07686,-0.0003015
-2.50221,-0.04020,2.71641,-0.08756,-0.0002803
-2.48991,-0.04113,2.71624,-0.08873,-0.0002555
-2.47762,-0.04212,2.70846,-0.09675,-0.0002284
-2.46532,-0.04293,2.70698,-0.09717,-0.0002016
-2.45302,-0.04370,2.69829,-0.10405,-0.0001738
-2.44073,-0.04397,2.69716,-0.10453,-0.0001490
-2.42843,-0.04446,2.68762,-0.10969,-0.0001209
-2.41614,-0.04522,2.68610,-0.10984,-0.0000919
-2.40384,-0.04551,2.67678,-0.10909,-0.0000668
-2.39155,-0.04559,2.67579,-0.10946,-0.0000433
-2.37925,-0.04580,2.66460,-0.11089,-0.0000212
-2.36695,-0.04592,2.66193,-0.11106,0.0000006
-2.35466,-0.04595,2.65450,-0.10565,0.0000189
-2.34236,-0.04585,2.65289,-0.10582,0.0000365
-2.33007,-0.04569,2.64367,-0.10459,0.0000541
-2.31777,-0.04540,2.64168,-0.10408,0.0000723
-2.30547,-0.04502,2.63072,-0.09829,0.0000878
-2.29318,-0.04493,2.62890,-0.09820,0.0001053
-2.28088,-0.04446,2.61740,-0.09411,0.0001197
-2.26859,-0.04373,2.61309,-0.09309,0.0001350
-2.25629,-0.04323,2.60591,-0.09178,0.0001471
-2.24399,-0.04229,2.60316,-0.09135,0.0001606
-2.23170,-0.04171,2.59609,-0.08776,0.0001762
-2.21940,-0.04053,2.59359,-0.08625,0.0001929
-2.20711,-0.03956,2.58480,-0.08681,0.0002091
-2.19481,-0.03905,2.58339,-0.08635,0.0002257
-2.18252,-0.03741,2.57778,-0.08298,0.0002402
-2.17022,-0.03682,2.57679,-0.08280,0.0002553
-2.15792,-0.03558,2.57951,-0.08382,0.0002690
-2.14563,-0.03359,2.58022,-0.08359,0.0002823
-2.13333,-0.03290,2.57581,-0.07995,0.0002971
-2.12104,-0.03088,2.57763,-0.07818,0.0003092
-2.10874,-0.02910,2.57182,-0.07739,0.0003171
-2.09644,-0.02727,2.57339,-0.07864,0.0003274
-2.08415,-0.02551,2.56655,-0.07544,0.0003371
-2.07185,-0.02473,2.56769,-0.07427,0.0003482
-2.05956,-0.02327,2.57078,-0.07412,0.0003576
-2.04726,-0.02033,2.57224,-0.07500,0.0003708
-2.03497,-0.01936,2.56463,-0.07743,0.0003818
-2.02267,-0.01737,2.56454,-0.07606,0.0003935
-2.01037,-0.01426,2.56213,-0.06558,0.0004077
-1.99808,-0.01320,2.56321,-0.06740,0.0004227
-1.98578,-0.00992,2.54896,-0.05939,0.0004383
-1.97349,-0.00880,2.54666,-0.05954,0.0004568
-1.96119,-0.00618,2.54424,-0.04594,0.0004640
-1.94889,-0.00293,2.54379,-0.04681,0.0004760
-1.93660,-0.00178,2.53273,-0.04107,0.0004891
-1.92430,0.00123,2.53126,-0.04165,0.0005057
-1.91201,0.00423,2.52495,-0.02480,0.0005189
-1.89971,0.00546,2.52410,-0.02460,0.0005290
-1.88741,0.00923,2.51251,-0.02288,0.0005397
-1.87512,0.01176,2.50895,-0.02459,0.0005502
-1.86282,0.01303,2.51143,-0.01230,0.0005598
-1.85053,0.01676,2.51089,-0.01345,0.0005710
-1.83823,0.01851,2.50384,-0.01850,0.0005601
-1.82594,0.02071,2.50202,-0.01948,0.0005503
-1.81364,0.02365,2.50396,-0.01112,0.0005402
-1.80134,0.02639,2.50288,-0.01329,0.0005347
-1.78905,0.02835,2.50856,-0.01014,0.0005255
-1.77675,0.03205,2.50813,-0.01011,0.0005177
-1.76446,0.03328,2.52030,-0.00442,0.0005115
-1.75216,0.03686,2.52012,-0.00521,0.0005019
-1.73986,0.03919,2.53037,-0.00048,0.0004978
-1.72757,0.04032,2.53068,-0.00047,0.0004860
-1.71527,0.04351,2.55156,0.01093,0.0004657
-1.70298,0.04522,2.55316,0.01038,0.0004503
-1.69068,0.04688,2.57339,0.01581,0.0004386
-1.67839,0.04908,2.57396,0.01621,0.0004297
-1.66609,0.05037,2.60773,0.02440,0.0004206
-1.65379,0.05288,2.60894,0.02437,0.0004120
-1.64150,0.05365,2.62941,0.02662,0.0004029
-1.62920,0.05498,2.62993,0.02738,0.0003880
-1.61691,0.05658,2.66338,0.03534,0.0003758
-1.60461,0.05745,2.66440,0.03496,0.0003688
-1.59231,0.05779,2.69007,0.04218,0.0003647
-1.58002,0.05849,2.69093,0.04345,0.0003607
-1.56772,0.05861,2.72792,0.05195,0.0003578
-1.55543,0.05868,2.72892,0.05284,0.0003532
-1.54313,0.05835,2.74577,0.06330,0.0003482
-1.53083,0.05813,2.74704,0.06424,0.0003420
-1.51854,0.05714,2.77409,0.08613,0.0003353
-1.50624,0.05669,2.77476,0.08661,0.0003266
-1.49395,0.05567,2.79134,0.10122,0.0003171
-1.48165,0.05418,2.79219,0.10210,0.0003049
-1.46936,0.05311,2.81574,0.11750,0.0002932
-1.45706,0.05179,2.81616,0.11763,0.0002754
-1.44476,0.04839,2.82808,0.12739,0.0002634
-1.43247,0.04638,2.82987,0.12780,0.0002536
-1.42017,0.04428,2.83851,0.13945,0.0002365
-1.40788,0.04270,2.83930,0.13959,0.0002179
-1.39558,0.04141,2.84720,0.14648,0.0002027
-1.38328,0.03785,2.84841,0.14589,0.0001844
-1.37099,0.03662,2.85972,0.15434,0.0001623
-1.35869,0.03413,2.85982,0.15417,0.0001396
-1.34640,0.03025,2.86592,0.15854,0.0001119
-1.33410,0.02895,2.86574,0.15830,0.0000945
-1.32181,0.02504,2.86566,0.16203,0.0000727
-1.30951,0.02162,2.86538,0.16210,0.0000530
-1.29721,0.01919,2.86772,0.16450,0.0000270
-1.28492,0.01686,2.86725,0.16425,-0.0000002
-1.27262,0.01417,2.87439,0.16606,-0.0000178
-1.26033,0.01282,2.87432,0.16611,-0.0000375
-1.24803,0.00880,2.87197,0.16641,-0.0000516
-1.23573,0.00747,2.87155,0.16552,-0.0000814
-1.22344,0.00485,2.86275,0.16081,-0.0001059
-1.21114,0.00239,2.86271,0.16038,-0.0001259
-1.19885,0.00027,2.85627,0.15358,-0.0001461
-1.18655,-0.00461,2.85292,0.15178,-0.0001650
-1.17425,-0.00606,2.84780,0.13780,-0.0001889
-1.16196,-0.00767,2.84745,0.13684,-0.0002075
-1.14966,-0.01115,2.83766,0.12521,-0.0002231
-1.13737,-0.01340,2.83368,0.12324,-0.0002438
-1.12507,-0.01449,2.82021,0.10321,-0.0002590
-1.11278,-0.01768,2.81990,0.10251,-0.0002742
-1.10048,-0.01871,2.81148,0.08878,-0.0002859
-1.08818,-0.02104,2.80934,0.08740,-0.0002940
-1.07589,-0.02225,2.80644,0.06995,-0.0003084
-1.06359,-0.02407,2.80669,0.06973,-0.0003104
-1.05130,-0.02754,2.80200,0.05902,-0.0003198
-1.03900,-0.02919,2.80216,0.05863,-0.0003249
-1.02670,-0.02965,2.78703,0.04165,-0.0003331
-1.01441,-0.03193,2.78736,0.04130,-0.0003367
-1.00211,-0.03267,2.77851,0.03377,-0.0003393
-0.98982,-0.03408,2.77637,0.03377,-0.0003417
-0.97752,-0.03604,2.76657,0.01897,-0.0003433
-0.96523,-0.03665,2.76625,0.01880,-0.0003448
-0.95293,-0.03837,2.75489,0.01229,-0.0003456
-0.94063,-0.03942,2.75356,0.01282,-0.0003450
-0.92834,-0.03991,2.74555,-0.00127,-0.0003439
-0.91604,-0.04122,2.74523,-0.00122,-0.0003402
-0.90375,-0.04170,2.73346,-0.01179,-0.0003364
-0.89145,-0.04246,2.73211,-0.01184,-0.0003307
-0.87915,-0.04316,2.72494,-0.02840,-0.0003279
-0.86686,-0.04365,2.72464,-0.02834,-0.0003231
-0.85456,-0.04456,2.71304,-0.04435,-0.0003179
-0.84227,-0.04495,2.71124,-0.04536,-0.0003112
-0.82997,-0.04527,2.70655,-0.06720,-0.0003047
-0.81767,-0.04549,2.70634,-0.06799,-0.0002971
-0.80538,-0.04551,2.69691,-0.08942,-0.0002909
-0.79308,-0.04564,2.69426,-0.09093,-0.0002832
-0.78079,-0.04568,2.69072,-0.11337,-0.0002768
-0.76849,-0.04557,2.69011,-0.11401,-0.0002686
-0.75620,-0.04556,2.68817,-0.13412,-0.0002627
-0.74390,-0.04536,2.68651,-0.13444,-0.0002560
-0.73160,-0.04509,2.68802,-0.15014,-0.0002492
-0.71931,-0.04437,2.68776,-0.15087,-0.0002402
-0.70701,-0.04391,2.68629,-0.15823,-0.0002322
-0.69472,-0.04361,2.68638,-0.15731,-0.0002215
-0.68242,-0.04281,2.69186,-0.16329,-0.0002090
-0.67012,-0.04207,2.69046,-0.16312,-0.0001894
-0.65783,-0.04151,2.69458,-0.16270,-0.0001660
-0.64553,-0.04032,2.69531,-0.16182,-0.0001379
-0.63324,-0.03985,2.69675,-0.15734,-0.0001049
-0.62094,-0.03832,2.69525,-0.15757,-0.0000698
-0.60865,-0.03721,2.70120,-0.15116,-0.0000320
-0.59635,-0.03662,2.70179,-0.15022,0.0000085
-0.58405,-0.03475,2.71329,-0.14574,0.0000465
-0.57176,-0.03409,2.71322,-0.14561,0.0000861
-0.55946,-0.03272,2.71665,-0.14211,0.0001273
-0.54717,-0.03071,2.71630,-0.14203,0.0001610
-0.53487,-0.02998,2.71659,-0.13320,0.0001927
-0.52257,-0.02698,2.71658,-0.13343,0.0002172
-0.51028,-0.02533,2.71454,-0.13115,0.0002502
-0.49798,-0.02379,2.71462,-0.13149,0.0002772
-0.48569,-0.02186,2.71346,-0.11603,0.0002987
-0.47339,-0.02019,2.71331,-0.11612,0.0003260
-0.46109,-0.01922,2.70557,-0.11322,0.0003488
-0.44880,-0.01620,2.70430,-0.11344,0.0003683
-0.43650,-0.01517,2.69080,-0.10048,0.0003899
-0.42421,-0.01307,2.69020,-0.10003,0.0004087
-0.41191,-0.00978,2.68380,-0.09435,0.0004281
-0.39962,-0.00867,2.68296,-0.09441,0.0004490
-0.38732,-0.00562,2.68267,-0.07832,0.0004587
-0.37502,-0.00258,2.68253,-0.07794,0.0004686
-0.36273,-0.00016,2.67893,-0.07222,0.0004762
-0.35043,0.00194,2.67771,-0.07211,0.0004895
-0.33814,0.00437,2.67470,-0.05236,0.0004979
-0.32584,0.00560,2.67476,-0.05230,0.0005044
-0.31354,0.00938,2.67632,-0.04327,0.0005143
-0.30125,0.01064,2.67581,-0.04340,0.0005251
-0.28895,0.01447,2.69578,-0.02182,0.0005353
-0.27666,0.01701,2.69610,-0.02163,0.0005437
-0.26436,0.01820,2.70608,-0.01484,0.0005404
-0.25207,0.02260,2.70670,-0.01439,0.0005233
-0.23977,0.02475,2.71365,0.00460,0.0005132
-0.22747,0.02675,2.71392,0.00475,0.0005108
-0.21518,0.02969,2.72344,0.01054,0.0005082
-0.20288,0.03092,2.72426,0.01021,0.0005048
-0.19059,0.03340,2.74455,0.02450,0.0005015
-0.17829,0.03696,2.74473,0.02381,0.0004987
-0.16599,0.03813,2.75539,0.02094,0.0004972
-0.15370,0.04150,2.75575,0.01949,0.0004946
-0.14140,0.04362,2.75777,0.03005,0.0004838
-0.12911,0.04589,2.75784,0.02855,0.0004696
-0.11681,0.04703,2.76513,0.02490,0.0004616
-0.10451,0.04857,2.76570,0.02267,0.0004555
-0.09222,0.05039,2.77858,0.02921,0.0004497
-0.07992,0.05293,2.77868,0.02728,0.0004433
-0.06763,0.05427,2.78331,0.02448,0.0004379
-0.05533,0.05558,2.78332,0.02363,0.0004268
-0.04304,0.05663,2.77755,0.03439,0.0004201
-0.03074,0.05708,2.77720,0.03332,0.0004095
-0.01844,0.05785,2.78344,0.03938,0.0004057
-0.00615,0.05838,2.78365,0.03899,0.0003959
0.00615,0.05874,2.79449,0.05188,0.0003920
0.01844,0.05869,2.79469,0.05178,0.0003803
0.03074,0.05841,2.80284,0.05951,0.0003710
0.04304,0.05818,2.80295,0.05934,0.0003595
0.05533,0.05756,2.80532,0.07851,0.0003476
0.06763,0.05672,2.80494,0.07854,0.0003344
0.07992,0.05505,2.81768,0.08823,0.0003176
0.09222,0.05412,2.81729,0.08838,0.0003032
0.10451,0.05207,2.82909,0.10362,0.0002809
0.11681,0.05034,2.82912,0.10379,0.0002576
0.12911,0.04994,2.83517,0.10931,0.0002383
0.14140,0.04818,2.83272,0.10967,0.0002237
0.15370,0.04594,2.83837,0.12142,0.0002037
0.16599,0.04233,2.83588,0.12196,0.0001743
0.17829,0.04003,2.84699,0.12675,0.0001578
0.19059,0.03761,2.84496,0.12745,0.0001394
0.20288,0.03638,2.85766,0.13298,0.0001103
0.21518,0.03389,2.85635,0.13361,0.0000850
0.22747,0.03131,2.86565,0.13577,0.0000567
0.23977,0.02838,2.86491,0.13593,0.0000396
0.25207,0.02469,2.87088,0.13579,0.0000146
0.26436,0.02146,2.87056,0.13532,-0.0000052
0.27666,0.01892,2.87544,0.13524,-0.0000329
0.28895,0.01790,2.87543,0.13437,-0.0000589
0.30125,0.01532,2.88564,0.13309,-0.0000702
0.31354,0.01262,2.88582,0.13223,-0.0000894
0.32584,0.00861,2.88974,0.13043,-0.0001010
0.33814,0.00598,2.89010,0.13007,-0.0001267
0.35043,0.00369,2.89145,0.12642,-0.0001421
0.36273,0.00217,2.89150,0.12568,-0.0001613
0.37502,0.00005,2.89547,0.12212,-0.0001806
0.38732,-0.00285,2.89521,0.12198,-0.0001971
0.39962,-0.00672,2.89602,0.11453,-0.0002211
0.41191,-0.00904,2.89594,0.11414,-0.0002391
0.42421,-0.01135,2.89588,0.10774,-0.0002560
0.43650,-0.01359,2.89460,0.10760,-0.0002741
0.44880,-0.01469,2.89292,0.09629,-0.0002903
0.46109,-0.01683,2.89301,0.09567,-0.0003009
0.47339,-0.01891,2.89195,0.08750,-0.0003164
0.48569,-0.02081,2.89126,0.08767,-0.0003223
0.49798,-0.02416,2.88290,0.07327,-0.0003329
0.51028,-0.02601,2.88290,0.07318,-0.0003383
0.52257,-0.02604,2.87527,0.06385,-0.0003454
0.53487,-0.02785,2.87434,0.06352,-0.0003467
0.54717,-0.02982,2.84987,0.04560,-0.0003493
0.55946,-0.03215,2.84987,0.04560,-0.0003504
0.57176,-0.03359,2.82888,0.03414,-0.0003518
0.58405,-0.03495,2.82724,0.03343,-0.0003533
0.59635,-0.03624,2.80543,0.01485,-0.0003539
0.60865,-0.03685,2.80482,0.01449,-0.0003547
0.62094,-0.03801,2.78318,0.00553,-0.0003550
0.63324,-0.03909,2.78122,0.00507,-0.0003552
0.64553,-0.04057,2.73873,-0.01833,-0.0003553
0.65783,-0.04137,2.73727,-0.01874,-0.0003543
0.67012,-0.04202,2.71903,-0.02500,-0.0003532
0.68242,-0.04265,2.71760,-0.02515,-0.0003531
0.69472,-0.04329,2.68597,-0.04428,-0.0003526
0.70701,-0.04384,2.68532,-0.04399,-0.0003530
0.71931,-0.04475,2.66734,-0.04900,-0.0003492
0.73160,-0.04514,2.66592,-0.04888,-0.0003453
0.74390,-0.04544,2.63341,-0.06663,-0.0003417
0.75620,-0.04549,2.63243,-0.06653,-0.0003365
0.76849,-0.04579,2.61215,-0.07141,-0.0003306
0.78079,-0.04587,2.61042,-0.07128,-0.0003233
0.79308,-0.04585,2.58929,-0.08570,-0.0003148
0.80538,-0.04575,2.58894,-0.08579,-0.0003042
0.81767,-0.04557,2.57211,-0.09070,-0.0002931
0.82997,-0.04533,2.57091,-0.09076,-0.0002799
0.84227,-0.04524,2.54742,-0.09846,-0.0002661
0.85456,-0.04482,2.54733,-0.09833,-0.0002491
0.86686,-0.04441,2.53063,-0.09736,-0.0002333
0.87915,-0.04375,2.52815,-0.09676,-0.0002145
0.89145,-0.04295,2.51588,-0.09644,-0.0001972
0.90375,-0.04246,2.51573,-0.09595,-0.0001786
0.91604,-0.04138,2.51116,-0.09344,-0.0001561
0.92834,-0.04096,2.51168,-0.09274,-0.0001328
0.94063,-0.04004,2.50287,-0.09267,-0.0001099
0.95293,-0.03905,2.50601,-0.09478,-0.0000870
0.96523,-0.03798,2.50525,-0.09406,-0.0000648
0.97752,-0.03609,2.50824,-0.09735,-0.0000437
0.98982,-0.03481,2.50123,-0.09907,-0.0000214
1.00211,-0.03349,2.50515,-0.10427,0.0000002
1.01441,-0.03279,2.51079,-0.11040,0.0000242
1.02670,-0.03135,2.51151,-0.11196,0.0000425
1.03900,-0.02915,2.49783,-0.11267,0.0000544
1.05130,-0.02714,2.49754,-0.11236,0.0000702
1.06359,-0.02546,2.49175,-0.11000,0.0000876
1.07589,-0.02381,2.49128,-0.11000,0.0001046
1.08818,-0.02319,2.47650,-0.09874,0.0001183
1.10048,-0.02080,2.47642,-0.09883,0.0001366
1.11278,-0.01928,2.46155,-0.08879,0.0001418
1.12507,-0.01727,2.46094,-0.08882,0.0001672
1.13737,-0.01414,2.44318,-0.06580,0.0001833
1.14966,-0.01199,2.44257,-0.06531,0.0001982
