x,eta,u,v,pressure
-3.14159,0.05796,2.81653,0.14878,0.0004568
-3.12930,0.05771,2.81733,0.14873,0.0004363
-3.11700,0.05723,2.82070,0.15674,0.0004154
-3.10471,0.05689,2.81944,0.15663,0.0003942
-3.09241,0.05614,2.82503,0.17092,0.0003718
-3.08011,0.05520,2.82473,0.17046,0.0003501
-3.06782,0.05347,2.82205,0.17710,0.0003240
-3.05552,0.05217,2.82032,0.17647,0.0002961
-3.04323,0.05007,2.82571,0.18723,0.0002713
-3.03093,0.04998,2.82483,0.18699,0.0002494
-3.01863,0.04834,2.82653,0.19334,0.0002317
-3.00634,0.04627,2.82522,0.19339,0.0002110
-2.99404,0.04385,2.83749,0.20128,0.0001843
-2.98175,0.04073,2.83723,0.20120,0.0001605
-2.96945,0.03849,2.84034,0.20616,0.0001377
-2.95715,0.03618,2.84000,0.20578,0.0001131
-2.94486,0.03500,2.84436,0.20760,0.0000914
-2.93256,0.03260,2.84454,0.20759,0.0000681
-2.92027,0.03014,2.84757,0.20813,0.0000461
-2.90797,0.02723,2.84756,0.20803,0.0000300
-2.89568,0.02351,2.84988,0.20818,0.0000121
-2.88338,0.02068,2.85017,0.20808,-0.0000063
-2.87108,0.01979,2.85095,0.20512,-0.0000358
-2.85879,0.01737,2.85130,0.20485,-0.0000582
-2.84649,0.01479,2.84482,0.20071,-0.0000734
-2.83420,0.01221,2.84511,0.20049,-0.0000910
-2.82190,0.00838,2.84373,0.19722,-0.0001045
-2.80960,0.00585,2.84389,0.19680,-0.0001353
-2.79731,0.00373,2.84371,0.19037,-0.0001524
-2.78501,0.00229,2.84386,0.18991,-0.0001783
-2.77272,0.00028,2.84034,0.18553,-0.0002000
-2.76042,-0.00442,2.84072,0.18493,-0.0002236
-2.74813,-0.00635,2.83691,0.17720,-0.0002521
-2.73583,-0.00851,2.83701,0.17673,-0.0002750
-2.72353,-0.01074,2.83357,0.17267,-0.0002984
-2.71124,-0.01184,2.83348,0.17228,-0.0003229
-2.69894,-0.01398,2.83113,0.16392,-0.0003467
-2.68665,-0.01608,2.83107,0.16341,-0.0003708
-2.67435,-0.01812,2.82400,0.15924,-0.0003939
-2.66205,-0.02010,2.82349,0.15877,-0.0004121
-2.64976,-0.02323,2.80906,0.14569,-0.0004355
-2.63746,-0.02478,2.80877,0.14532,-0.0004502
-2.62517,-0.02486,2.79234,0.13683,-0.0004736
-2.61287,-0.02661,2.79186,0.13655,-0.0004832
-2.60057,-0.02950,2.77292,0.11511,-0.0005014
-2.58828,-0.03087,2.77296,0.11489,-0.0005141
-2.57598,-0.03244,2.74412,0.10174,-0.0005260
-2.56369,-0.03400,2.73743,0.10123,-0.0005359
-2.55139,-0.03511,2.72065,0.08173,-0.0005461
-2.53910,-0.03632,2.71980,0.08175,-0.0005524
-2.52680,-0.03747,2.69273,0.07083,-0.0005605
-2.51450,-0.03853,2.68888,0.07082,-0.0005640
-2.50221,-0.03998,2.68154,0.05470,-0.0005685
-2.48991,-0.04107,2.68092,0.05441,-0.0005701
-2.47762,-0.04172,2.65977,0.04668,-0.0005692
-2.46532,-0.04223,2.65759,0.04629,-0.0005682
-2.45302,-0.04284,2.63070,0.03025,-0.0005637
-2.44073,-0.04336,2.63023,0.02960,-0.0005613
-2.42843,-0.04391,2.61825,0.01866,-0.0005537
-2.41614,-0.04436,2.61723,0.01837,-0.0005412
-2.40384,-0.04503,2.60308,-0.00035,-0.0005282
-2.39155,-0.04529,2.60255,-0.00086,-0.0005130
-2.37925,-0.04544,2.59077,-0.01400,-0.0004970
-2.36695,-0.04554,2.59014,-0.01401,-0.0004777
-2.35466,-0.04554,2.57002,-0.03400,-0.0004575
-2.34236,-0.04553,2.56966,-0.03422,-0.0004340
-2.33007,-0.04532,2.55838,-0.05079,-0.0004098
-2.31777,-0.04507,2.55794,-0.05061,-0.0003813
-2.30547,-0.04503,2.54517,-0.07352,-0.0003532
-2.29318,-0.04465,2.54443,-0.07328,-0.0003220
-2.28088,-0.04424,2.53042,-0.08823,-0.0002942
-2.26859,-0.04334,2.52995,-0.08799,-0.0002645
-2.25629,-0.04294,2.50557,-0.10755,-0.0002347
-2.24399,-0.04232,2.50537,-0.10765,-0.0002159
-2.23170,-0.04125,2.49426,-0.12101,-0.0001701
-2.21940,-0.04038,2.49416,-0.12093,-0.0001497
-2.20711,-0.03992,2.48661,-0.14041,-0.0001045
-2.19481,-0.03842,2.48697,-0.14079,-0.0000820
-2.18252,-0.03788,2.48005,-0.15207,-0.0000401
-2.17022,-0.03614,2.48029,-0.15278,-0.0000156
-2.15792,-0.03488,2.46861,-0.16934,0.0000215
-2.14563,-0.03423,2.46958,-0.17050,0.0000489
-2.13333,-0.03215,2.46626,-0.17392,0.0000840
-2.12104,-0.03142,2.46689,-0.17467,0.0001129
-2.10874,-0.03014,2.46508,-0.17526,0.0001401
-2.09644,-0.02865,2.46593,-0.17599,0.0001650
-2.08415,-0.02686,2.47448,-0.17515,0.0001922
-2.07185,-0.02494,2.47515,-0.17542,0.0002199
-2.05956,-0.02189,2.46967,-0.16500,0.0002401
-2.04726,-0.02057,2.47013,-0.16525,0.0002707
-2.03497,-0.01826,2.47677,-0.15346,0.0002817
-2.02267,-0.01621,2.47700,-0.15337,0.0003192
-2.01037,-0.01517,2.49170,-0.14012,0.0003358
-1.99808,-0.01198,2.49179,-0.14005,0.0003676
-1.98578,-0.01087,2.49238,-0.13226,0.0003889
-1.97349,-0.00864,2.49066,-0.13190,0.0004154
-1.96119,-0.00593,2.48013,-0.11661,0.0004301
-1.94889,-0.00440,2.47931,-0.11606,0.0004501
-1.93660,0.00007,2.47670,-0.10551,0.0004595
-1.92430,0.00178,2.47565,-0.10436,0.0004801
-1.91201,0.00327,2.49025,-0.08621,0.0004964
-1.89971,0.00696,2.49017,-0.08615,0.0005022
-1.88741,0.00950,2.49041,-0.07174,0.0005253
-1.87512,0.01076,2.48983,-0.07035,0.0005381
-1.86282,0.01463,2.49542,-0.04847,0.0005564
-1.85053,0.01591,2.49544,-0.04831,0.0005690
-1.83823,0.01963,2.49861,-0.03495,0.0005605
-1.82594,0.02130,2.49865,-0.03415,0.0005553
-1.81364,0.02357,2.50371,-0.01667,0.0005492
-1.80134,0.02759,2.50379,-0.01646,0.0005493
-1.78905,0.02886,2.50318,-0.00759,0.0005512
-1.77675,0.03141,2.50306,-0.00737,0.0005507
-1.76446,0.03518,2.49566,0.00805,0.0005503
-1.75216,0.03762,2.49594,0.00828,0.0005471
-1.73986,0.03884,2.49344,0.01624,0.0005491
-1.72757,0.04213,2.49361,0.01646,0.0005434
-1.71527,0.04392,2.49627,0.03262,0.0005236
-1.70298,0.04687,2.49675,0.03285,0.0005140
-1.69068,0.04791,2.49363,0.04016,0.0005046
-1.67839,0.04937,2.49226,0.04008,0.0004915
-1.66609,0.05210,2.48700,0.04932,0.0004796
-1.65379,0.05316,2.48622,0.04925,0.0004669
-1.64150,0.05417,2.48328,0.05286,0.0004510
-1.62920,0.05584,2.48217,0.05271,0.0004232
-1.61691,0.05630,2.49087,0.05708,0.0004115
-1.60461,0.05734,2.49023,0.05670,0.0003889
-1.59231,0.05774,2.48835,0.05538,0.0003803
-1.58002,0.05786,2.48740,0.05523,0.0003619
-1.56772,0.05789,2.48756,0.05156,0.0003504
-1.55543,0.05764,2.48728,0.05083,0.0003392
-1.54313,0.05743,2.49055,0.04646,0.0003295
-1.53083,0.05651,2.49039,0.04589,0.0003240
-1.51854,0.05611,2.49621,0.04575,0.0003113
-1.50624,0.05515,2.49731,0.04247,0.0003032
-1.49395,0.05380,2.50696,0.03710,0.0002918
-1.48165,0.05287,2.50727,0.03694,0.0002768
-1.46936,0.04997,2.51378,0.04028,0.0002641
-1.45706,0.04830,2.51533,0.03867,0.0002560
-1.44476,0.04825,2.53127,0.03954,0.0002491
-1.43247,0.04634,2.53174,0.03943,0.0002399
-1.42017,0.04278,2.55260,0.04902,0.0002229
-1.40788,0.04172,2.55351,0.04796,0.0002131
-1.39558,0.03838,2.56852,0.05214,0.0002009
-1.38328,0.03722,2.56919,0.05184,0.0001862
-1.37099,0.03369,2.58497,0.06366,0.0001718
-1.35869,0.03124,2.58531,0.06321,0.0001559
-1.34640,0.03001,2.59745,0.06696,0.0001452
-1.33410,0.02752,2.59815,0.06697,0.0001301
-1.32181,0.02314,2.61235,0.07826,0.0001134
-1.30951,0.02314,2.61292,0.07845,0.0001028
-1.29721,0.01910,2.62437,0.07930,0.0000708
-1.28492,0.01725,2.62498,0.07965,0.0000571
-1.27262,0.01467,2.62246,0.08621,0.0000481
-1.26033,0.01081,2.62329,0.08655,0.0000372
-1.24803,0.00954,2.63009,0.08611,0.0000292
-1.23573,0.00577,2.62996,0.08656,0.0000082
-1.22344,0.00376,2.63644,0.08537,-0.0000079
-1.21114,0.00228,2.63646,0.08579,-0.0000225
-1.19885,-0.00214,2.64532,0.08378,-0.0000392
-1.18655,-0.00455,2.64505,0.08416,-0.0000542
-1.17425,-0.00540,2.63733,0.07983,-0.0000755
-1.16196,-0.00853,2.63724,0.07999,-0.0000909
-1.14966,-0.00965,2.64491,0.07604,-0.0001078
-1.13737,-0.01292,2.64500,0.07630,-0.0001247
-1.12507,-0.01399,2.64944,0.06787,-0.0001398
-1.11278,-0.01607,2.64957,0.06798,-0.0001503
-1.10048,-0.01906,2.65815,0.06193,-0.0001703
-1.08818,-0.02025,2.65814,0.06202,-0.0001815
-1.07589,-0.02176,2.65458,0.05204,-0.0002005
-1.06359,-0.02465,2.65489,0.05197,-0.0002089
