x,eta,u,v,pressure
-3.14159,0.05944,2.43185,0.05890,0.0002156
-3.12930,0.05933,2.44336,0.06568,0.0002089
-3.11700,0.05919,2.44384,0.06595,0.0001938
-3.10471,0.05843,2.46181,0.08104,0.0001861
-3.09241,0.05806,2.46219,0.08100,0.0001695
-3.08011,0.05718,2.47736,0.08699,0.0001625
-3.06782,0.05553,2.47751,0.08721,0.0001453
-3.05552,0.05485,2.49479,0.09399,0.0001344
-3.04323,0.05312,2.49498,0.09435,0.0001193
-3.03093,0.05048,2.50600,0.09459,0.0001060
-3.01863,0.04866,2.50602,0.09406,0.0000938
-3.00634,0.04654,2.52612,0.09670,0.0000872
-2.99404,0.04647,2.52612,0.09670,0.0000782
-2.98175,0.04359,2.53418,0.09654,0.0000641
-2.96945,0.04036,2.53396,0.09687,0.0000570
-2.95715,0.03916,2.55340,0.09497,0.0000433
-2.94486,0.03668,2.55340,0.09497,0.0000328
-2.93256,0.03286,2.56087,0.09610,0.0000152
-2.92027,0.03155,2.56118,0.09629,0.0000033
-2.90797,0.02794,2.57757,0.09898,-0.0000146
-2.89568,0.02565,2.57770,0.09909,-0.0000280
-2.88338,0.02424,2.58381,0.10286,-0.0000405
-2.87108,0.02068,2.58416,0.10353,-0.0000544
-2.85879,0.01682,2.60565,0.10148,-0.0000812
-2.84649,0.01549,2.60583,0.10163,-0.0000921
-2.83420,0.01150,2.60981,0.10242,-0.0001087
-2.82190,0.01019,2.60943,0.10263,-0.0001227
-2.80960,0.00629,2.62430,0.09982,-0.0001436
-2.79731,0.00429,2.62434,0.09993,-0.0001596
-2.78501,0.00276,2.62940,0.09874,-0.0001786
-2.77272,-0.00154,2.62915,0.09877,-0.0001973
-2.76042,-0.00415,2.65294,0.09541,-0.0002159
-2.74813,-0.00499,2.65304,0.09545,-0.0002405
-2.73583,-0.00829,2.65616,0.09089,-0.0002604
-2.72353,-0.00941,2.65626,0.09090,-0.0002801
-2.71124,-0.01164,2.66403,0.08890,-0.0003005
-2.69894,-0.01485,2.66413,0.08887,-0.0003209
-2.68665,-0.01589,2.66678,0.08288,-0.0003333
-2.67435,-0.01875,2.66700,0.08288,-0.0003570
-2.66205,-0.02029,2.67322,0.07150,-0.0003737
-2.64976,-0.02156,2.67359,0.07150,-0.0003891
-2.63746,-0.02499,2.67486,0.06400,-0.0004102
-2.62517,-0.02672,2.67525,0.06410,-0.0004190
-2.61287,-0.02672,2.66592,0.04615,-0.0004402
-2.60057,-0.02871,2.66616,0.04617,-0.0004499
-2.58828,-0.03053,2.66523,0.03681,-0.0004645
-2.57598,-0.03259,2.66546,0.03669,-0.0004751
-2.56369,-0.03330,2.66567,0.01192,-0.0004842
-2.55139,-0.03465,2.66587,0.01191,-0.0004919
-2.53910,-0.03655,2.67026,0.00460,-0.0004999
-2.52680,-0.03772,2.67093,0.00435,-0.0005064
-2.51450,-0.03828,2.65689,-0.02357,-0.0005115
-2.50221,-0.03967,2.65716,-0.02374,-0.0005140
-2.48991,-0.04017,2.65916,-0.03216,-0.0005175
-2.47762,-0.04171,2.65937,-0.03219,-0.0005168
-2.46532,-0.04225,2.65560,-0.05987,-0.0005153
-2.45302,-0.04282,2.65585,-0.05992,-0.0005110
-2.44073,-0.04378,2.65903,-0.06751,-0.0005035
-2.42843,-0.04438,2.65908,-0.06752,-0.0004940
-2.41614,-0.04449,2.64446,-0.09196,-0.0004822
-2.40384,-0.04497,2.64451,-0.09184,-0.0004685
-2.39155,-0.04534,2.64624,-0.10031,-0.0004526
-2.37925,-0.04562,2.64613,-0.10017,-0.0004344
-2.36695,-0.04595,2.62928,-0.12069,-0.0004149
-2.35466,-0.04601,2.62906,-0.12057,-0.0003913
-2.34236,-0.04600,2.62892,-0.12725,-0.0003684
-2.33007,-0.04598,2.62855,-0.12715,-0.0003435
-2.31777,-0.04588,2.60164,-0.14135,-0.0003192
-2.30547,-0.04548,2.60100,-0.14138,-0.0002915
-2.29318,-0.04521,2.59762,-0.14500,-0.0002661
-2.28088,-0.04505,2.59698,-0.14488,-0.0002387
-2.26859,-0.04458,2.57663,-0.15144,-0.0002146
-2.25629,-0.04400,2.57505,-0.15114,-0.0001874
-2.24399,-0.04313,2.57310,-0.14997,-0.0001630
-2.23170,-0.04246,2.57179,-0.14959,-0.0001438
-2.21940,-0.04185,2.54079,-0.14828,-0.0001099
-2.20711,-0.04075,2.53977,-0.14816,-0.0000827
-2.19481,-0.03980,2.53439,-0.14257,-0.0000559
