x,eta,u,v,pressure
-3.14159,0.05936,2.33948,0.01036,0.0002130
-3.12930,0.05908,2.33969,0.01060,0.0002073
-3.11700,0.05887,2.35609,0.01768,0.0002007
-3.10471,0.05830,2.35635,0.01819,0.0001936
-3.09241,0.05705,2.38836,0.02195,0.0001858
-3.08011,0.05602,2.38852,0.02223,0.0001779
-3.06782,0.05539,2.40437,0.03279,0.0001700
-3.05552,0.05362,2.40470,0.03304,0.0001559
-3.04323,0.05172,2.42938,0.04477,0.0001433
-3.03093,0.04967,2.42952,0.04508,0.0001274
-3.01863,0.04946,2.44872,0.05906,0.0001166
-3.00634,0.04764,2.44960,0.05953,0.0001063
-2.99404,0.04370,2.47877,0.07115,0.0000910
-2.98175,0.04267,2.47947,0.07160,0.0000765
-2.96945,0.04070,2.49634,0.08454,0.0000633
-2.95715,0.03717,2.49793,0.08528,0.0000445
-2.94486,0.03596,2.51760,0.09839,0.0000268
-2.93256,0.03351,2.51836,0.09837,0.0000077
-2.92027,0.02971,2.53280,0.11141,-0.0000149
-2.90797,0.02843,2.53337,0.11430,-0.0000287
-2.89568,0.02408,2.56384,0.12273,-0.0000470
-2.88338,0.02393,2.56407,0.12246,-0.0000615
-2.87108,0.02051,2.57264,0.12883,-0.0000892
-2.85879,0.01662,2.57271,0.12892,-0.0001090
-2.84649,0.01530,2.58274,0.13596,-0.0001237
-2.83420,0.01269,2.58312,0.13558,-0.0001376
-2.82190,0.00872,2.59244,0.13909,-0.0001609
-2.80960,0.00742,2.59261,0.13884,-0.0001803
-2.79731,0.00376,2.61106,0.14232,-0.0002013
-2.78501,0.00207,2.61190,0.14236,-0.0002187
-2.77272,-0.00208,2.62331,0.13826,-0.0002374
-2.76042,-0.00445,2.62483,0.13860,-0.0002569
-2.74813,-0.00643,2.61260,0.13434,-0.0002798
-2.73583,-0.00753,2.61404,0.13452,-0.0002988
-2.72353,-0.01097,2.61623,0.12968,-0.0003196
-2.71124,-0.01322,2.61829,0.13009,-0.0003408
-2.69894,-0.01433,2.61517,0.11603,-0.0003616
-2.68665,-0.01755,2.61631,0.11602,-0.0003838
-2.67435,-0.01860,2.61576,0.10950,-0.0004035
-2.66205,-0.02086,2.61654,0.10946,-0.0004235
-2.64976,-0.02220,2.58891,0.08775,-0.0004529
-2.63746,-0.02404,2.58946,0.08743,-0.0004671
-2.62517,-0.02768,2.57241,0.07481,-0.0004906
-2.61287,-0.02934,2.57065,0.07486,-0.0005089
-2.60057,-0.02986,2.55885,0.05319,-0.0005361
-2.58828,-0.03220,2.55763,0.05249,-0.0005559
-2.57598,-0.03300,2.54012,0.03978,-0.0005740
-2.56369,-0.03518,2.53642,0.03973,-0.0005895
-2.55139,-0.03653,2.50131,0.01241,-0.0006024
-2.53910,-0.03718,2.49642,0.01143,-0.0006124
-2.52680,-0.03899,2.47414,-0.00304,-0.0006194
-2.51450,-0.04010,2.46647,-0.00305,-0.0006234
-2.50221,-0.04062,2.44942,-0.02248,-0.0006251
-2.48991,-0.04199,2.44654,-0.02177,-0.0006223
-2.47762,-0.04259,2.43581,-0.03540,-0.0006173
-2.46532,-0.04328,2.43387,-0.03494,-0.0006109
-2.45302,-0.04400,2.40875,-0.05382,-0.0006000
-2.44073,-0.04459,2.40815,-0.05380,-0.0005870
-2.42843,-0.04557,2.40361,-0.06739,-0.0005704
-2.41614,-0.04596,2.40396,-0.06874,-0.0005516
-2.40384,-0.04628,2.38816,-0.08792,-0.0005317
-2.39155,-0.04655,2.38841,-0.08988,-0.0005092
-2.37925,-0.04659,2.38509,-0.10452,-0.0004859
-2.36695,-0.04672,2.38534,-0.10680,-0.0004603
-2.35466,-0.04676,2.36782,-0.12718,-0.0004339
-2.34236,-0.04668,2.36801,-0.12889,-0.0004056
-2.33007,-0.04651,2.36466,-0.13567,-0.0003777
-2.31777,-0.04641,2.36591,-0.13699,-0.0003471
-2.30547,-0.04617,2.34468,-0.15110,-0.0003178
-2.29318,-0.04547,2.34515,-0.15290,-0.0002865
-2.28088,-0.04505,2.34178,-0.15788,-0.0002580
-2.26859,-0.04475,2.34028,-0.15812,-0.0002266
-2.25629,-0.04405,2.33064,-0.16462,-0.0001969
-2.24399,-0.04339,2.33002,-0.16494,-0.0001676
-2.23170,-0.04251,2.32550,-0.17250,-0.0001363
-2.21940,-0.04141,2.32233,-0.17324,-0.0001049
-2.20711,-0.04090,2.31911,-0.17490,-0.0000736
-2.19481,-0.03938,2.31669,-0.17505,-0.0000439
-2.18252,-0.03826,2.31402,-0.17854,-0.0000150
-2.17022,-0.03767,2.31232,-0.17822,0.0000144
-2.15792,-0.03585,2.31329,-0.16905,0.0000417
-2.14563,-0.03524,2.31289,-0.16898,0.0000695
-2.13333,-0.03393,2.30943,-0.16698,0.0000956
-2.12104,-0.03176,2.30944,-0.16609,0.0001230
-2.10874,-0.03093,2.31051,-0.14965,0.0001443
-2.09644,-0.02791,2.30975,-0.14963,0.0001631
-2.08415,-0.02597,2.30502,-0.14620,0.0001847
-2.07185,-0.02431,2.30208,-0.14617,0.0002093
-2.05956,-0.02241,2.30018,-0.12924,0.0002280
-2.04726,-0.02072,2.29596,-0.12939,0.0002496
-2.03497,-0.01978,2.29533,-0.12768,0.0002684
-2.02267,-0.01675,2.29228,-0.12756,0.0002871
-2.01037,-0.01568,2.29439,-0.11036,0.0003071
-1.99808,-0.01351,2.29288,-0.10953,0.0003249
-1.98578,-0.01009,2.28823,-0.10615,0.0003422
-1.97349,-0.00893,2.28591,-0.10442,0.0003608
-1.96119,-0.00584,2.29557,-0.08755,0.0003673
-1.94889,-0.00265,2.29383,-0.08730,0.0003776
-1.93660,-0.00208,2.29111,-0.07831,0.0003868
-1.92430,0.00213,2.28860,-0.07680,0.0003968
-1.91201,0.00470,2.30551,-0.05942,0.0004036
-1.89971,0.00600,2.30451,-0.05882,0.0004121
-1.88741,0.00998,2.30260,-0.05348,0.0004208
-1.87512,0.01130,2.30189,-0.05237,0.0004297
-1.86282,0.01535,2.31431,-0.03390,0.0004397
-1.85053,0.01785,2.31276,-0.03419,0.0004446
-1.83823,0.01908,2.31187,-0.02824,0.0004339
-1.82594,0.02377,2.30942,-0.02873,0.0004244
-1.81364,0.02550,2.32619,-0.01000,0.0004199
-1.80134,0.02785,2.32530,-0.01052,0.0004189
-1.78905,0.03148,2.32928,-0.00865,0.0004168
-1.77675,0.03280,2.32821,-0.00857,0.0004168
-1.76446,0.03663,2.34218,0.01483,0.0004159
-1.75216,0.03912,2.34216,0.01488,0.0004165
-1.73986,0.04036,2.35036,0.02225,0.0004157
-1.72757,0.04371,2.35055,0.02300,0.0004059
-1.71527,0.04519,2.36730,0.04435,0.0003963
-1.70298,0.04685,2.36767,0.04478,0.0003916
-1.69068,0.05017,2.37625,0.05392,0.0003867
-1.67839,0.05139,2.37663,0.05460,0.0003787
-1.66609,0.05256,2.39153,0.07727,0.0003716
-1.65379,0.05482,2.39166,0.07738,0.0003648
-1.64150,0.05549,2.40507,0.09027,0.0003544
